Listagem de Complexos de Exibição por Município e UF - 2011;;;;;;
;;;;;;
#;UF;Município;População*;Nome Complexo ;Grupo ANCINE;Número de Salas
1;AC;Cruzeiro Do Sul;79.173;Cine Romeu;Independente;1
2;AC;Rio Branco;342.298;Cine JOÃO PAULO;Independente;2
3;AC;Rio Branco;342.298;Via Verde Shopping;Araujo;4
4;AL;Maceió;943.109;Centerplex  Shopping Pátio Maceió;Centerplex;5
5;AL;Maceió;943.109;Cine Sesi Pajuçara;Independente;1
6;AL;Maceió;943.109;Cinema Farol ;Lumiere;2
7;AL;Maceió;943.109;Kinoplex Maceió;Gsr;6
8;AM;Itacoatiara;87.970;Cine Theatro Dib Barbosa;Independente;1
9;AM;Manaus;1.832.423;Cinema Amazonas;Gsr;6
10;AM;Manaus;1.832.423;Cinemais Manaus Plaza Shopping;Cinemais;8
11;AM;Manaus;1.832.423;Cinemais Shopping Millennium;Cinemais;8
12;AM;Manaus;1.832.423;Playarte Manauara;Play;10
13;AM;Manaus;1.832.423;Studio 5 Festival Mall Manaus;Cinemark;8
14;AP;Macapá;407.023;Cine IMPERATOR;Independente;2
15;AP;Macapá;407.023;Cine MACAPÁ ;Independente;2
16;AP;Santana;102.860;Cine Santana;Independente;2
17;BA;Alagoinhas;142.869;Laguna;Independente;1
18;BA;Barreiras;139.284;Xodo;Independente;1
19;BA;Feira De Santana;562.466;Cineplace Feira;Orient;4
20;BA;Ibicaraí;23.910;Cine Ana;Independente;1
21;BA;Ilhéus;185.801;Santa Clara;Independente;2
22;BA;Itamaraju;63.052;Teatro Orion;Independente;1
23;BA;Porto Seguro;129.324;Cine Plaza;Independente;1
24;BA;Salvador;2.693.605;Barra;Orient;2
25;BA;Salvador;2.693.605;Cine Lapa;Orient;2
26;BA;Salvador;2.693.605;Cinemark Salvador;Cinemark;8
27;BA;Salvador;2.693.605;Cinépolis Norte Shopping;Cinépolis;6
28;BA;Salvador;2.693.605;Espaço Unibanco Glauber Rocha;Espaço;4
29;BA;Salvador;2.693.605;Multiplex Iguatemi;Uci/Orient;12
30;BA;Salvador;2.693.605;Ponto Alto;Orient;2
31;BA;Salvador;2.693.605;Sala De Arte - Cine Xiv;Sala De Arte;1
32;BA;Salvador;2.693.605;Sala De Arte - Cinema Do Museu;Sala De Arte;1
33;BA;Salvador;2.693.605;SALA DE ARTE - UFBA (Sala De Arte Bahiano);Sala De Arte;1
34;BA;Salvador;2.693.605;Sala De Arte Cine Vivo;Sala De Arte;2
35;BA;Salvador;2.693.605;Sala Walter Da Silveira;Independente;1
