Listagem de Complexos de Exibição por Município e UF - 2017;;;;;;;
;;;;;;;
#;UF;Município;População*;Nome Complexo ;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
1;AC;CRUZEIRO DO SUL;82.622;Cine Romeu;INDEPENDENTE;14878;1
2;AC;RIO BRANCO;383.443;ARAÚJO Multiplex Via Verde;ARAÚJO;20363;6
3;AL;ARAPIRACA;234.185;Cinesystem Arapiraca Garden Shopping;CINESYSTEM;26037;6
4;AL;MACEIÓ;1.029.129;Centerplex Shopping Pátio Maceió;CENTERPLEX;17444;5
5;AL;MACEIÓ;1.029.129;Centro Cultural Arte Pajuçara;INDEPENDENTE;26593;1
6;AL;MACEIÓ;1.029.129;Cinesystem Parque Shopping Maceió;CINESYSTEM;25512;9
7;AL;MACEIÓ;1.029.129;KINOPLEXMaceió;KINOPLEX;19334;6
8;AL;MACEIÓ;1.029.129;Lumière Shopping Farol;INDEPENDENTE;37375;2
9;AM;MANACAPURU;96.460;Cine Kimak;INDEPENDENTE;35519;2
10;AM;MANAUS;2.130.264;ARAÚJO Multiplex Via Norte;ARAÚJO;28802;6
11;AM;MANAUS;2.130.264;Centerplex Grande Circular;INDEPENDENTE;38235;5
12;AM;MANAUS;2.130.264;Cine Casarão;INDEPENDENTE;37902;1
13;AM;MANAUS;2.130.264;Cinemark Studio 5 Shopping;CINEMARK;905;8
14;AM;MANAUS;2.130.264;Cinépolis Manaus Plaza;CINÉPOLIS;30118;8
15;AM;MANAUS;2.130.264;Cinépolis Millennium;CINÉPOLIS;30116;8
16;AM;MANAUS;2.130.264;Cinépolis Ponta Negra;CINÉPOLIS;25193;10
17;AM;MANAUS;2.130.264;KINOPLEXAmazonas;KINOPLEX;2393;5
18;AM;MANAUS;2.130.264;PlayArte Manauara;PLAYARTE;16356;10
19;AM;MANAUS;2.130.264;UCI Sumaúma Park Shopping;UCI;31265;8
20;AP;MACAPÁ;474.706;Cine Imperator Trem;IMPERATOR;31731;2
21;AP;MACAPÁ;474.706;Cine Imperator Villa Nova;IMPERATOR;21490;2
22;AP;MACAPÁ;474.706;Cinépolis Amapá Garden;CINÉPOLIS;30091;8
23;AP;MACAPÁ;474.706;Moviecom Macapá Shopping;MOVIECOM SÃO PAULO;22977;5
24;BA;ALAGOINHAS;155.979;Cine Laguna;INDEPENDENTE;24512;1
25;BA;BARREIRAS;157.638;Cine Premier Barreiras;PREMIER;37002;2
26;BA;CACHOEIRA;35.139;Cine Theatro Cachoeirano;-;S/REG;1
27;BA;CAMAÇARI;296.893;Cinemark Camaçari (Boulevard Shopping);CINEMARK;33652;5
28;BA;EUNÁPOLIS;115.290;Cine Hobby;INDEPENDENTE;24449;2
29;BA;FEIRA DE SANTANA;627.477;Cinesercla Feira de Santana;LB CINEMAS;37997;5
30;BA;FEIRA DE SANTANA;627.477;Orient Cineplace Boulevard Shopping;ORIENT;6630;4
31;BA;ILHÉUS;176.341;Cine Santa Clara;CINE FILMES;29218;2
32;BA;JUAZEIRO;221.773;Cinemark Juazeiro (Juá Garden Shopping);CINEMARK;33084;4
33;BA;LUÍS EDUARDO MAGALHÃES;83.557;Cine Premier Luís Eduardo Magalhães;PREMIER;35816;2
34;BA;PORTO SEGURO;149.324;Cine Plaza;CINE FILMES;20446;1
35;BA;SALVADOR;2.953.986;Cinemark Salvador;CINEMARK;12976;10
