#;UF;Município;População*;Nome Complexo ;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
1;AC;CRUZEIRO DO SUL;87.673;Cine Romeu;INDEPENDENTE;14878;1
2;AC;RIO BRANCO;401.155;ARAÚJO Multiplex Via Verde;ARAÚJO;20363;6
3;AC;RIO BRANCO;401.155;Cine Teatro Recreio;INDEPENDENTE;S/REG;1
4;AL;ARAPIRACA;230.417;Cinesystem Arapiraca Garden Shopping;CINESYSTEM;26037;6
5;AL;MACEIÓ;1.012.382;Centerplex Shopping Pátio Maceió;CENTERPLEX;17444;5
6;AL;MACEIÓ;1.012.382;Centro Cultural Arte Pajuçara;INDEPENDENTE;26593;1
7;AL;MACEIÓ;1.012.382;Cinesystem Parque Shopping Maceió;CINESYSTEM;25512;9
8;AL;MACEIÓ;1.012.382;KINOPLEXMaceió;KINOPLEX;19334;6
9;AL;MACEIÓ;1.012.382;Lumière Shopping Farol;INDEPENDENTE;37375;2
10;AM;MANACAPURU;96.236;Cine Kimak;INDEPENDENTE;35519;2
11;AM;MANAUS;2.145.444;ARAÚJO Multiplex Via Norte;ARAÚJO;28802;6
12;AM;MANAUS;2.145.444;Centerplex Grande Circular;CENTERPLEX;38235;5
13;AM;MANAUS;2.145.444;Cine Casarão;INDEPENDENTE;37902;1
14;AM;MANAUS;2.145.444;Cinemark Studio 5 Shopping;CINEMARK;905;8
15;AM;MANAUS;2.145.444;Cinépolis Manaus Plaza;CINÉPOLIS;30118;8
16;AM;MANAUS;2.145.444;Cinépolis Millennium;CINÉPOLIS;30116;8
17;AM;MANAUS;2.145.444;Cinépolis Ponta Negra;CINÉPOLIS;25193;10
18;AM;MANAUS;2.145.444;KINOPLEXAmazonas;KINOPLEX;2393;5
19;AM;MANAUS;2.145.444;PlayArte Manauara;PLAYARTE;16356;10
20;AM;MANAUS;2.145.444;UCI Sumaúma Park Shopping;UCI;31265;8
21;AP;MACAPÁ;493.634;Cine Imperator Trem;IMPERATOR;31731;2
22;AP;MACAPÁ;493.634;Cine Imperator Villa Nova;IMPERATOR;21490;2
23;AP;MACAPÁ;493.634;Cinépolis Amapá Garden;CINÉPOLIS;30091;8
24;AP;MACAPÁ;493.634;Moviecom Macapá Shopping;MOVIECOM SÃO PAULO;22977;5
25;BA;ALAGOINHAS;150.832;Cine Laguna;INDEPENDENTE;24512;1
26;BA;BARREIRAS;153.831;Cine Premier Barreiras;PREMIER;37002;2
27;BA;CACHOEIRA;33.861;Cine Theatro Cachoeirano;INDEPENDENTE;40376;1
28;BA;CAMAÇARI;293.723;Cinemark Camaçari (Boulevard Shopping);CINEMARK;33652;5
29;BA;EUNÁPOLIS;112.318;Cine Hobby;INDEPENDENTE;24449;2
