Listagem de Complexos de Exibição por Município e UF - 2019;;;;;;;
;;;;;;;
#;UF;Município;População*;Nome Complexo;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
1;AC;CRUZEIRO DO SUL;88.376;Cine Romeu;INDEPENDENTE;14878;1
2;AC;RIO BRANCO;407.319;ARAÚJO Multiplex Via Verde;ARAÚJO;20363;6
3;AC;RIO BRANCO;407.319;Cine Teatro Recreio;INDEPENDENTE;S/REG;1
4;AL;ARAPIRACA;231.747;Cinesystem Arapiraca Garden Shopping;CINESYSTEM;26037;6
5;AL;MACEIÓ;1.018.948;Centerplex Shopping Pátio Maceió;CENTERPLEX;17444;5
6;AL;MACEIÓ;1.018.948;Centro Cultural Arte Pajuçara;INDEPENDENTE;26593;1
7;AL;MACEIÓ;1.018.948;Cinesystem Parque Shopping Maceió;CINESYSTEM;25512;9
8;AL;MACEIÓ;1.018.948;KINOPLEXMaceió;KINOPLEX;19334;6
9;AL;MACEIÓ;1.018.948;Lumière Shopping Farol;INDEPENDENTE;37375;2
10;AM;MANACAPURU;97.377;Cine Kimak;INDEPENDENTE;35519;2
11;AM;MANAUS;2.182.763;ARAÚJO Multiplex Via Norte;ARAÚJO;28802;6
12;AM;MANAUS;2.182.763;Centerplex Grande Circular;CENTERPLEX;38235;5
13;AM;MANAUS;2.182.763;Cine Casarão;INDEPENDENTE;37902;1
14;AM;MANAUS;2.182.763;Cinemark Studio 5 Shopping;CINEMARK;905;6
15;AM;MANAUS;2.182.763;Cinépolis Manaus Plaza;CINÉPOLIS;30118;8
16;AM;MANAUS;2.182.763;Cinépolis Millennium;CINÉPOLIS;30116;8
17;AM;MANAUS;2.182.763;Cinépolis Ponta Negra;CINÉPOLIS;25193;10
18;AM;MANAUS;2.182.763;KINOPLEXAmazonas;KINOPLEX;2393;5
19;AM;MANAUS;2.182.763;PlayArte Manauara;PLAYARTE;16356;10
20;AM;MANAUS;2.182.763;UCI Sumaúma Park Shopping;UCI;31265;8
21;AM;ITACOATIARA;101.337;Cine Theatro Dib Barbosa;INDEPENDENTE;41868;1
22;AP;MACAPÁ;503.327;Cine Imperator Trem;IMPERATOR;31731;2
23;AP;MACAPÁ;503.327;Cinépolis Amapá Garden;CINÉPOLIS;30091;8
24;AP;MACAPÁ;503.327;Moviecom Macapá Shopping;MOVIECOM SÃO PAULO;22977;5
