Listagem de Distribuidoras 2009 a 2019;;;;;;;;;;;
;;;;;;;;;;;
Ano de exibição;Distribuidora;Número de Registro Ancine;Origem da empresa distribuidora;Público;Público Filmes Brasileiros;Renda (R$);Renda Filmes Brasileiros (R$);Títulos Exibidos;Títulos Brasileiros Exibidos;Títulos Lançados;Títulos Brasileiros Lançados
2009;Ab Filmes;136;Distribuição Nacional;33.255;0;307.288,57;0;1;0;1;0
2009;Business Telecom;17673;Distribuição Nacional;546;546;2.529,50;2.530;1;1;1;1
2009;Califórnia;532;Distribuição Nacional;211.136;547;1.963.949,76;2.209;23;2;11;0
2009;Canal 3;4282;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1
2009;Canal Brasil;1500;Distribuição Nacional;15.588;15.588;141.466,68;141.467;1;1;1;1
2009;Caraminhola Produções Artísticas;6505;Distribuição Nacional;182;182;886;886;1;1;1;1
2009;Casa Azul;2260;Distribuição Nacional;230;230;975,38;975;2;2;2;2
2009;Cinegrama;4965;Distribuição Nacional;907;907;4.717,50;4.718;1;1;1;1
2009;Cinerama Filmes;810;Distribuição Nacional;239;239;767,26;767;1;1;0;0
2009;Downtown;4904;Distribuição Nacional;101.244;101.244;837.920,74;837.921;9;9;2;2
2009;Downtown/RioFilme;4904/105;Distribuição Nacional;1.935.766;1.935.766;17.137.715,53;17.137.716;2;2;2;2
2009;Downtown/Videofilmes;4904/276;Distribuição Nacional;4.119;4.119;25.713,36;25.713;1;1;1;1
2009;Espaço Filmes;1083;Distribuição Nacional;7.919;7.919;57.765,50;57.766;2;2;2;2
2009;Espaço Itaú de Cinema;14006;Distribuição Nacional;77.579;0;1.387.050,00;0;2;0;2;0
2009;Europa;2250;Distribuição Nacional;1.929.856;111.553;17.488.949,17;778.112;30;4;11;1
2009;Europa/RioFilme;2250/105;Distribuição Nacional;35.629;35.629;304.073,23;304.073;1;1;1;1
2009;Filmes da Mostra;1797/29957;Distribuição Nacional;116.023;0;1.030.667,42;0;10;0;7;0
2009;Filmes do Estação;592;Distribuição Nacional;164.218;84.204;1.333.743,11;632.688;27;9;11;4
2009;Flashstar Filmes;13591;Distribuição Nacional;65.019;0;640.518,60;0;2;0;1;0
2009;Fox;256;Distribuição Internacional;29.942.400;6.215.189;256.396.883,00;49.659.548;40;10;19;3
2009;G7 Cinema;5341;Distribuição Nacional;59.336;59.336;516.323,06;516.323;2;2;2;2
2009;Gávea Filmes e Produções;7128;Distribuição Nacional;2.596;2.596;16.555,50;16.556;1;1;1;1
2009;Imagem;1935;Distribuição Nacional;6.967.868;2.624.229;59.948.695,00;22.549.721;44;6;31;4
2009;Imovision;11868/173;Distribuição Nacional;545.507;62.023;4.797.885,37;522.371;61;13;25;5
2009;Já Filmes;748;Distribuição Nacional;1.680;1.680;7.456,50;7.457;2;2;0;0
2009;Labovideo Produções Artísticas;1070;Distribuição Nacional;706;706;3.862,00;3.862;1;1;0;0
2009;Master Shot Produções;478;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1
2009;Mirasul;1273;Distribuição Nacional;104;104;1.061,00;1.061;1;1;1;1
2009;Miração Filmes;1860;Distribuição Nacional;6.026;6.026;41.827,75;41.828;1;1;1;1
2009;Moviemobz;13613;Distribuição Nacional;234.903;37.775;2.093.227,77;319.849;18;2;16;2
2009;Moviemobz/RioFilme;13613/105;Distribuição Nacional;74.780;74.780;724.055,76;724.056;3;3;3;3
2009;O2 Cinema;7087;Distribuição Nacional;591;591;3.034,00;3.034;1;1;1;1
2009;Panda Filmes;941;Distribuição Nacional;10.158;6.838;49.893,23;26.667;12;5;7;3
2009;Pandora Filmes;12443/333;Distribuição Nacional;137.245;13.448;1.143.180,80;89.542;40;11;10;4
2009;Paramount;169;Distribuição Internacional;8.076.514;42.793;66.189.369,00;263.675;17;3;10;1
2009;Paris;11922;Distribuição Nacional;8.147.077;3.238;66.210.010,61;14.678;29;1;18;0
2009;Pequena Central;1466;Distribuição Nacional;4.532;4.532;19.171,50;19.172;2;2;2;2
2009;Pipa Produções;5467;Distribuição Nacional;5.511;5.511;22.811,00;22.811;6;6;3;3
2009;Playarte;443;Distribuição Nacional;5.368.159;284.121;46.419.448,09;2.073.227;33;3;21;2
2009;Polifilmes;2550;Distribuição Nacional;7.847;7.512;45.320,54;44.106;9;8;3;3
2009;Polifilmes/Topázio Filmes;2550/1230;Distribuição Nacional;625;625;5.018,40;5.018;1;1;1;1
