Listagem de Filmes Brasileiros e Estrangeiros Exibidos - 2009 a 2019;;;;;;;;;;
;;;;;;;;;;
Ano de exibição;Título da obra;CPB/ROE;Gênero;País(es) produtor(es) da obra;Nacionalidade da obra;Data de lançamento;Empresa distribuidora;Origem da empresa distribuidora;Público no ano de exibição;Renda (R$) no ano de exibição
2019;120 Batimentos Por Minuto;E1700453800000;Ficção;França;Estrangeira;04/01/2018;Imovision;Distribuição Nacional;10;70
2019;3 Faces;E1800494900000;Ficção;Irã;Estrangeira;04/04/2019;Imovision;Distribuição Nacional;6.289;103.805,00
2019;45 Dias Sem Você;B1800586000000;Ficção;Brasil;Brasileira;16/05/2019;O2 Play;Distribuição Nacional;3.303;31.295,00
2019;A 100 Passos De Um Sonho;E1402795100000;Ficção;Estados Unidos;Estrangeira;28/08/2014;Disney;Distribuição Internacional;69;4.186,00
2019;A Abelhinha Maya - O Filme;E1800136100000;Animação;Alemanha;Estrangeira;17/05/2018;Playarte;Distribuição Nacional;402;3.531,00
2019;A Batalha Das Correntes;E1900289700000;Ficção;Estados Unidos;Estrangeira;19/12/2019;Diamond Films;Distribuição Nacional;19.579;425.304,00
2019;A Bela da Tarde;E1700492900000;Ficção;França, Itália;Estrangeira;Relançamento;Zeta Filmes;Distribuição Nacional;14;253
2019;A Cabeça De Gumercindo Saraiva;B1800469700000;Ficção;Brasil;Brasileira;25/10/2018;Elo Company;Distribuição Nacional;195;1.830,00
2019;A Caminho De Casa;E1800535400000;Ficção;Estados Unidos;Estrangeira;28/02/2019;Sony;Distribuição Internacional;652.641;9.445.705,00
2019;A Casa De Veraneio;E1900054600000;Ficção;França, Itália;Estrangeira;28/02/2019;Imovision;Distribuição Nacional;8.001;137.759,00
2019;A Casa Que Jack Construiu;E1800305800000;Ficção;Alemanha, Dinamarca, França, Suécia;Estrangeira;01/11/2018;Califórnia;Distribuição Nacional;530;4.466,00
2019;A Cidade Dos Piratas;B1800516900000;Animação;Brasil;Brasileira;31/10/2019;Lança Filmes;Distribuição Nacional;2.364;32.055,00
2019;A Cinco Passos De Você;E1900025700000;Ficção;Estados Unidos;Estrangeira;21/03/2019;Paris;Distribuição Nacional;1.346.982;19.364.671,00
2019;A Costureira De Sonhos;E1800495000000;Ficção;França, Índia;Estrangeira;23/05/2019;Imovision;Distribuição Nacional;21.464;360.398,00
2019;A Câmera De Claire;E1700468500000;Ficção;Coréia do Sul, França;Estrangeira;24/05/2018;Pandora Filmes;Distribuição Nacional;72;456
2019;A Espiã Vermelha;E1900122900000;Ficção;Inglaterra;Estrangeira;16/05/2019;Califórnia;Distribuição Nacional;35.593;676.079,00
2019;A Esposa;E1800428100000;Ficção;Estados Unidos, Reino Unido, Suécia;Estrangeira;10/01/2019;Alpha Filmes;Distribuição Nacional;170.609;3.056.791,00
2019;A Excêntrica Família De Gaspard;E1800499300000;Ficção;França;Estrangeira;29/11/2018;Bonfilm;Distribuição Nacional;39;344
2019;A Família Addams;E1900349600000;Animação;Canadá, Estados Unidos, Inglaterra;Estrangeira;31/10/2019;Universal;Distribuição Internacional;1.622.344;24.330.901,00
2019;A Família Submersa;B1800358900000;Ficção;Brasil, Argentina;Brasileira;04/04/2019;Esfera Produções;Distribuição Nacional;2.538;38.427,00
2019;A Favorita;E1800490300000;Ficção;Estados Unidos;Estrangeira;24/01/2019;Fox;Distribuição Internacional;254.709;4.988.357,00
2019;A Fera Na Selva;B1900415900000;Ficção;Brasil;Brasileira;03/10/2019;O2 Play;Distribuição Nacional;3.106;41.232,00
2019;A Filosofia na Alcova;B1700505300000;Ficção;Brasil;Brasileira;23/11/2017;Espaço dos Satyros;Distribuição Nacional;150;2.493,00
2019;A Forma Da Água;E1700442300000;Ficção;Estados Unidos;Estrangeira;01/02/2018;Disney;Distribuição Internacional;13;26
2019;A Fábrica De Nada;E1700452900000;Ficção;Portugal;Estrangeira;27/09/2018;Imovision;Distribuição Nacional;6;21
2019;A Garota Na Névoa;E1800412500000;Ficção;Itália;Estrangeira;08/11/2018;A2 Filmes;Distribuição Nacional;215;1.924,00
2019;A Grande  Dama  Do Cinema;E1900220700000;Ficção;Argentina;Estrangeira;16/05/2019;Fênix Filmes;Distribuição Nacional;24.992;426.096,00
2019;A Grande Mentira;E1900062800000;Ficção;Estados Unidos;Estrangeira;21/11/2019;Warner;Distribuição Internacional;39.508;844.595,00
2019;A História De Um Sonho;B1900139400000;Documentário;Brasil;Brasileira;06/06/2019;Elo Company;Distribuição Nacional;4.910;35.242,00
2019;A Irmandade;B1900148100000;Documentário;Brasil;Brasileira;14/11/2019;Lume Produções Cinematográficas;Distribuição Nacional;684;6.611,00
2019;A Juíza;E1900097800000;Documentário;Estados Unidos;Estrangeira;23/05/2019;Flow Filmes;Distribuição Nacional;6.287;78.834,00
2019;A Lenda De Golem;E1900137000000;Ficção;Israel;Estrangeira;13/06/2019;Playarte;Distribuição Nacional;8.077;121.734,00
2019;A Luta Do Século;B1600441200000;Documentário;Brasil;Brasileira;15/03/2018;Vitrine Filmes;Distribuição Nacional;25;56
2019;A Luz No Fim Do Mundo;E1900363100000;Ficção;Estados Unidos;Estrangeira;17/10/2019;Imagem;Distribuição Nacional;7.335;154.823,00
2019;A Maldição Da Chorona;E1800606100000;Ficção;Estados Unidos;Estrangeira;18/04/2019;Warner;Distribuição Internacional;361.053;5.617.449,00
2019;A Maldição Da Freira;E1900033300000;Ficção;Reino Unido;Estrangeira;28/02/2019;Playarte;Distribuição Nacional;148.557;2.285.835,00
2019;A Maratona De Brittany;E1900297700000;Ficção;Estados Unidos;Estrangeira;24/10/2019;Diamond Films;Distribuição Nacional;2.380;47.201,00
2019;A Menina E O Leão;E1900127200000;Ficção;África do Sul, Alemanha, França;Estrangeira;19/04/2019;Paris;Distribuição Nacional;34.883;572.953,00
2019;A Misteriosa Morte De Pérola;B1500169900000;Ficção;Brasil;Brasileira;08/11/2018;Embaúba Filmes;Distribuição Nacional;10;56
2019;A Morte Te Dá Parabéns 2;E1900046400000;Ficção;Estados Unidos;Estrangeira;21/02/2019;Universal;Distribuição Internacional;595.463;8.504.116,00
2019;A Mula;E1800605900000;Ficção;Estados Unidos;Estrangeira;14/02/2019;Warner;Distribuição Internacional;177.958;3.957.700,00
2019;A Mulher Do Meu Marido;B1800089700000;Ficção;Argentina, Brasil;Brasileira;29/08/2019;Bretz Filmes;Distribuição Nacional;3.018;50.248,00
2019;A Música Da Minha Vida;E1900234900000;Ficção;Reino Unido;Estrangeira;19/09/2019;Warner;Distribuição Internacional;17.464;380.002,00
2019;A Música Do Tempo - Do Sonho Do Império Ao Império Do Sonho;B1800423800000;Documentário;Brasil;Brasileira;12/09/2019;Espaço Filmes;Distribuição Nacional;317;5.222,00
