Listagem de Filmes Brasileiros e Estrangeiros Lançados - 2009 a 2019;;;;;;;;;;;;
;;;;;;;;;;;;
Ano de Lançamento;Título da obra;CPB/ROE;Gênero;País(es) produtor(es) da obra;Nacionalidade da obra;Data de lançamento;Empresa distribuidora;Origem da empresa distribuidora;Salas no Lançamento;Máximo de Salas Ocupadas;Público acumulado;Renda (R$) acumulada
2009;1983.. O Ano Azul;B0901024500000;Documentário;Brasil;Brasileira;05/06/2009;Prana Filmes;Distribuição Nacional;2;2;2.313;23.001,98
2009;23 Anos em 7 Segundos: 1977 - O Fim do Jejum Corinthiano;B0901028800000;Documentário;Brasil;Brasileira;26/06/2009;Fox;Distribuição Internacional;7;7;1.718;14.936,00
2009;A Erva do Rato;B0900982500000;Ficção;Brasil;Brasileira;26/06/2009;República Pureza;Distribuição Nacional;1;3;3.546;31.690,00
2009;A Festa da Menina Morta;B0800866000000;Ficção;Brasil;Brasileira;11/06/2009;Imovision;Distribuição Nacional;6;14;16.414;131.091,30
2009;A Ilha da Morte;B0700701800000;Ficção;Brasil;Brasileira;08/05/2009;Imovision;Distribuição Nacional;3;4;2.177;23.390,93
2009;A Morte Inventada - Alienação Parental;B0901006700000;Documentário;Brasil;Brasileira;05/06/2009;Caraminhola Produções Artísticas;Distribuição Nacional;1;1;182;886
2009;A Mulher Invisível;B0901010800000;Ficção;Brasil;Brasileira;05/06/2009;Warner;Distribuição Internacional;220;220;2.353.646;20.500.361,00
2009;Adagio Sostenuto;B0800831900000;Ficção;Brasil;Brasileira;15/05/2009;Pipa Produções;Distribuição Nacional;1;3;2.107;9.556,50
2009;Alô, Alô, Terezinha!;B0901063200000;Documentário;Brasil;Brasileira;30/10/2009;Imovision;Distribuição Nacional;58;58;26.530;223.512,71
2009;Anabazys;B0700707700000;Documentário;Brasil;Brasileira;27/03/2009;RioFilme;Distribuição Nacional;4;5;842;6.164,50
2009;Apenas o Fim;B0800922200000;Ficção;Brasil;Brasileira;11/06/2009;Filmes do Estação;Distribuição Nacional;5;11;24.693;159.035,50
2009;As Cantoras do Rádio;B0900982700000;Documentário;Brasil;Brasileira;11/06/2009;Panda Filmes;Distribuição Nacional;4;7;2.604;13.033,23
2009;Aventuras do Surf II;B0900993400000;Documentário;Brasil;Brasileira;27/03/2009;Universal;Distribuição Internacional;61;61;64.017;476.445,00
2009;Batatinha Poeta do Samba;B0901044600000;Documentário;Brasil;Brasileira;28/08/2009;Portfolium Laboratório de Imagens;Distribuição Nacional;1;1;221;1.863,00
