Listagem de Município e UF por Número de Salas - 2007;;;;
;;;;
UF;Município;População*;Número de Complexos;Número de Salas
AC;RIO BRANCO;288.614;1;2
AL;MACEIÓ;874.014;3;5
AM;MANAUS;1.612.475;3;22
AP;MACAPÁ;344.194;2;3
BA;ALAGOINHAS;132.540;1;1
BA;BARREIRAS;129.449;1;1
BA;CAMAÇARI;220.495;1;2
BA;FEIRA DE SANTANA;571.997;1;4
BA;ILHÉUS;220.144;1;2
BA;ITAMARAJU;65.368;1;1
BA;LAURO DE FREITAS;142.307;1;1
BA;PORTO SEGURO;114.344;1;1
BA;SALVADOR;2.892.625;16;47
BA;SANTO ANTONIO DE JESUS;84.252;1;2
BA;TEIXEIRA DE FREITAS;118.678;1;2
BA;VITÓRIA DA CONQUISTA;308.204;2;4
CE;FORTALEZA;2.431.415;8;29
CE;IGUATU;92.305;1;1
CE;JUAZEIRO DO NORTE;242.139;1;2
CE;MARACANAÚ;197.301;1;2
CE;SOBRAL;176.895;1;2
DF;BRASÍLIA;2.455.903;16;87
ES;ALEGRE;30.462;1;1
ES;ANCHIETA;19.450;1;1
ES;ARACRUZ;73.348;1;1
ES;CACHOEIRO DE ITAPEMIRIM;195.288;1;2
ES;CASTELO;32.196;1;1
ES;COLATINA;106.677;1;1
ES;GUARAPARI;97.977;1;3
ES;LINHARES;124.581;1;3
ES;MARATAÍZES;31.230;1;1
ES;MIMOSO DO SUL;26.218;1;1
ES;SÃO MATEUS;96.391;1;1
ES;SERRA;385.370;1;4
ES;VILA VELHA;398.068;4;10
ES;VITÓRIA;314.042;6;18
GO;ANÁPOLIS;325.544;2;3
GO;APARECIDA DE GOIÂNIA;475.303;1;6
GO;CALDAS NOVAS;62.389;1;1
GO;CATALÃO;75.566;1;1
GO;CERES;18.626;1;1
GO;FORMOSA;90.206;1;2
GO;GOIÂNIA;1.244.645;10;42
GO;GOIATUBA;31.208;1;1
GO;ITABERAÍ;30.621;1;1
GO;ITUMBIARA;88.122;1;3
GO;JATAI;82.010;1;1
