"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2008""";;;;;;;;;;;;;
"""Número de Autorização de Origem""";"""Data da Aprovação""";"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)""";;
"""1""";"""39449""";"""5""";"""Alpro Paradise""";"""publicitária""";"""03/01/2008 a 20/02/2008""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Latcho Drom""";"""Bélgica""";"""Estrangeira""";"""PR/SP""";;""""
"""2""";"""39451""";"""1""";"""Futebol Alegre""";"""ficção""";"""05/01/2008 a 20/02/2008
(pós-produção)""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";"""I-F-D""";"""Japão""";"""Estrangeira""";"""SP""";;
"""3""";"""39451""";"""3""";"""Acerola Filme""";"""publicitária""";"""05/01/2008 a 28/02/2008""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";"""Tohokushinsha Film Corporation""";"""Japão""";"""Estrangeira""";"""SP""";;
"""4""";"""39454""";"""2""";"""NHK Special ""Yanomami"" Parte II""";"""documentário""";"""17/01/2008 a 31/03/2008""";"""Urutau Filmes Ltda""";"""SP""";"""NHK - Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""RR""";;
"""5""";"""39455""";"""1""";"""Korean Airlines""";"""publicitária""";"""14/01/2008 a 14/02/2008 
(pré-produção)""";"""Ocean Films Ltda""";"""SC""";"""Compass Productions PTY Ltd""";"""Austrália""";"""Estrangeira""";"""BA/PR/RJ/SP""";;
"""6""";"""39456""";"""4""";"""Budapeste""";"""ficção""";"""10/01/2008 a 10/02/2008""";"""Nexus Cinema e Vídeo Ltda""";"""SP""";"""EuroFilm Stúdio Korlatolt Felelôsségu Társaság""";"""Hungria""";"""Coprodução""";"""RJ""";;
"""7""";"""39456""";"""3""";"""Kumon Brand TVCM""";"""documentário""";"""17/01/2008 a 23/01/2008""";"""Caradecão Produções Ltda""";"""RJ""";"""Indigo Pictures LLC""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";;
"""8""";"""39456""";"""4""";"""Desfile das Escolas de Samba 2008""";"""captação de imagens""";"""26/01/2008 a 07/02/2008""";"""Globo Comunicação e Participações S/A""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ""";;
"""9""";"""39458""";"""4""";"""Les Roses""";"""publicitária""";"""11/01/2008 a 10/02/2008""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Premiere Heure""";"""França""";"""Estrangeira""";"""RJ""";;
"""10""";"""39457""";"""3""";"""Filme Brasileiro""";"""documentário""";"""07/02/2008 a 20/02/2008""";"""Sol Entertainment Ltda""";"""RJ""";"""Fact + Film Medienproduktions GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ""";;
"""11""";"""39461""";"""3""";"""Aqui para Ficar""";"""documentário""";"""20/01/2008 a 30/01/2008""";"""Tatu Filmes Ltda""";"""SP""";"""KI Productions""";"""França""";"""Estrangeira""";"""MT""";;
"""12""";"""39461""";"""33""";"""Plastic City""";"""ficção""";"""12/01/2008 a 31/05/2008""";"""Gullane Filmes Ltda""";"""SP""";"""Xtreme Pictures Limited""";"""China""";"""Coprodução""";"""RJ/SP""";;
"""13""";"""39462""";"""6""";"""A Terra vista do céu""";"""documentário""";"""04/02/2008 a 04/03/2008""";"""Aquamarine Produções de Vídeo Ltda""";"""SP""";"""TV Asahi Productions""";"""Japão""";"""Estrangeira""";"""AM/MT/MS/PA/RJ/SP""";;
"""14""";"""39462""";"""3""";"""O diário de um caminhoneiro brasileiro""";"""documentário""";"""25/01/2008 a 20/02/2008""";"""Urutau Filmes Ltda""";"""SP""";"""El Horizonte Co., Ltd.""";"""Japão""";"""Estrangeira""";"""MT/RO/SP""";;
"""15""";"""39463""";"""9""";"""Rio de Janeiro 2008""";"""institucional""";"""11/02/2008 a 16/02/2008""";"""D´Bartolo Filmes e Entretenimento Ltda""";"""SP""";"""Yada/Levine Video Productions""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";;
"""16""";"""39463""";"""2""";"""The hearth of the Amazon""";"""documentário""";"""26/01/2008 a 15/02/2008""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Quicksilver Media""";"""Inglaterra""";"""Estrangeira""";"""AM/DF/RR""";;
"""17""";"""39463""";"""5""";"""China e Brasil, parceria estratégica internacional""";"""documentário""";"""23/01/2008 a 02/02/2008""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""ABC News Network""";"""Estados Unidos""";"""Estrangeira""";"""DF/MT/SP""";;
"""18""";"""39465""";"""13""";"""Hat Inc""";"""publicitária""";"""20/01/2008 a 20/03/2008""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";"""Hat Inc.""";"""Japão""";"""Estrangeira""";"""RJ""";;
"""19""";"""39471""";"""3""";"""Kazoku no Shouzou - Part IV (Retratos de Família - Parte IV)""";"""documentário""";"""08/02/2008 a 15/05/2008""";"""Aquamarine Produções de Vídeo Ltda""";"""SP""";"""Documentary Japan Inc.""";"""Japão""";"""Estrangeira""";"""SP""";;
"""20""";"""39472""";"""2""";"""Nosso planeta Terra""";"""documentário""";"""10/02/2008 a 29/02/2008""";"""Neon Rio Ltda""";"""RJ""";"""WLP""";"""França""";"""Estrangeira""";"""MG/RJ/SP""";;
"""21""";"""39475""";"""3""";"""New Fusions""";"""publicitária""";"""20/02/2008 a 06/03/2008""";"""Paradiso Films Ltda""";"""SP""";"""Knucklehead""";"""Inglaterra""";"""Estrangeira""";"""SP""";;
"""22""";"""39475""";"""3""";"""Danger Women""";"""documentário""";"""10/02/2008 a 29/02/2008""";"""Neon Rio Ltda""";"""RJ""";"""Ricochet Ltd""";"""Inglaterra""";"""Estrangeira""";"""MT/MS""";;
"""23""";"""39475""";"""2""";"""Rites of Passion""";"""documentário""";"""04/02/2008 a 22/02/2008""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Fox Television Studios""";"""Estados Unidos""";"""Estrangeira""";"""AM/BA/GO/PA""";;
"""24""";"""39475""";"""1""";"""A filha de Iemanjá""";"""documentário""";"""30/01/2008 a 30/04/2008""";"""MW Produções Ltda""";"""RJ""";"""Polystar Nigeria Ltd.""";"""Nigéria""";"""Estrangeira""";"""RJ""";;
"""25""";"""39476""";"""2""";"""Life - Gecko & Caiman""";"""documentário""";"""23/02/2008 a 15/03/2008""";"""Neon Rio Ltda""";"""RJ""";"""British Broadcasting Corporation""";"""Inglaterra""";"""Estrangeira""";"""MT/MS""";;
"""26""";"""39476""";"""6""";"""Rynkeby 16 Bitter Oranges from Brazil""";"""publicitária""";"""12/02/2008 a 12/03/2008""";"""Prodigital Vagabond Filmes Ltda""";"""SP""";"""Co. & Hoegh""";"""Dinamarca""";"""Estrangeira""";"""SP""";;
"""27""";"""39477""";"""6""";"""Otto - Summer here we come!""";"""publicitária""";"""19/02/2008 a 23/02/2008""";"""Utopia Filmes Produção Artística Ltda""";"""RJ""";"""Telemaz Commercials GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ""";;
"""28""";"""39477""";"""1""";"""Rio""";"""publicitária""";"""31/01/2008 a 01/03/2008""";"""Movie Makers Produções Cinematográficas Ltda""";"""RJ""";"""LPP Spolka Akcyjna""";"""Polônia""";"""Estrangeira""";"""RJ""";;
"""29""";"""39478""";"""6""";"""Salvemos a natureza e os povos em prol do futuro das crianças""";"""documentário""";"""13/02/2008 a 20/03/2008""";"""Masukomi Produções Ltda""";"""SP""";"""JINNET - Japan Independent News Net Co. Ltd.""";"""Japão""";"""Estrangeira""";"""AM/MT/PA""";;
"""30""";"""39478""";"""3""";"""TNT Brazil""";"""institucional""";"""09/02/2008 a 13/02/2008""";"""Neon Rio Ltda""";"""RJ""";"""Jacaranda Productions Ltd""";"""Inglaterra""";"""Estrangeira""";"""RS""";;
"""31""";"""39485""";"""4""";"""The world heritage - Patrimônios históricos mundiais""";"""documentário""";"""22/02/2008 a 10/03/2008""";"""Sango Production Ltda""";"""SP""";"""TBS Vision, Inc.""";"""Japão""";"""Estrangeira""";"""PR""";;
"""32""";"""39485""";"""3""";"""Garota de Ipanema - Song to soul *""";"""documentário""";"""20/03/2008 a 31/03/2008""";"""XES Projetos Visuais Ltda""";"""SP""";"""TBS Vision, Inc.""";"""Japão""";"""Estrangeira""";"""RJ/SP""";;
"""33""";"""39485""";"""1""";"""Desafio 2008 - many reasons""";"""publicitária""";"""10/02/2008 a 18/02/2008""";"""Bossa Nova Films Criações e Produções Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP""";;
"""34""";"""39489""";"""4""";"""Footprints at the ende of the world""";"""documentário""";"""11/03/2008 a 15/03/2008""";"""Blue Eye Empreedimentos e Produções Audiovisuais Ltda""";"""RJ""";"""NGHT, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";;
"""35""";"""39493""";"""1""";"""Imigrantes alemães no Brasil""";"""documentário""";"""20/02/2008 a 03/04/2008""";"""Sol Entertainment Ltda""";"""RJ""";"""Medi cine Medien Produktions GmbH""";"""Alemanha""";"""Estrangeira""";"""CE/MT/SP/RJ""";;
"""36""";"""39493""";"""5""";"""Nycomed SP""";"""institucional""";"""04/03/2008 a 09/03/2008""";"""Madremidia Produções Cinematográficas e Transporte Ltda ME""";"""SP""";"""The Edge Picture Co. Ltd.""";"""Inglaterra""";"""Estrangeira""";"""SP""";;
"""37""";"""39493""";"""5""";"""Architects""";"""publicitária""";"""25/02/2008 a 05/03/2008""";"""Paradiso Films Ltda""";"""SP""";"""Glass Film GmbH Co. & HG""";"""Alemanha""";"""Estrangeira""";"""SP""";;
"""38""";"""39496""";"""18""";"""No Limit Project #2""";"""publicitária""";"""05/03/2008 a 28/03/2008""";"""Ocean Films Ltda""";"""SC""";"""Transitions Production / Piramyd Film Inc.""";"""Estados Unidos / Japão""";"""Estrangeira""";"""AP""";;
"""39""";"""39497""";"""3""";"""The 100th Brazil Immigrant Anniversary - The song of hometown""";"""documentário""";"""08/03/2008 a 31/03/2008""";"""Sango Production Ltda""";"""SP""";"""RKB - Mainichi Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""AM/RJ/SP""";;
"""40""";"""39497""";"""3""";"""Implications of Global Warning & Efforts to save our Environment""";"""documentário""";"""22/02/2008 a 22/03/2008""";"""JKR Produções Artísticas Ltda""";"""RJ""";"""Hot Spot Films""";"""Emirados Árabes""";"""Estrangeira""";"""AC/DF/RO/SP""";;
"""41""";"""39498""";"""14""";"""Holiday""";"""publicitária""";"""05/03/2008 a 20/03/2008""";"""Ocean Films Ltda""";"""SC""";"""Love Productions""";"""Inglaterra""";"""Estrangeira""";"""RJ""";;
"""42""";"""39500""";"""3""";"""Songs of Praise""";"""programa de TV""";"""03/03/2008 a 10/03/2008""";"""Neon Rio Ltda""";"""RJ""";"""BBC Religion & Ethics""";"""Inglaterra""";"""Estrangeira""";"""PB""";;
"""43""";"""39500""";"""3""";"""Milho""";"""documentário""";"""03/03/2008 a 14/03/2008""";"""Meios de Produção e Comunicação Ltda""";"""RJ""";"""Filmes do Tejo II e Multimedia Ltda""";"""Portugal""";"""Coprodução""";"""DF/RJ""";;
"""44""";"""39503""";"""5""";"""Fourchette et sac à dos""";"""documentário""";"""20/03/2008 a 04/04/2008""";"""JKR Produções Artísticas Ltda""";"""RJ""";"""Coyote Conseil""";"""França""";"""Estrangeira""";"""BA/PA/RJ/RS""";;
"""45""";"""39504""";"""10""";"""SkinnyDipping""";"""programa de TV""";"""27/02/2008 a 11/03/2008""";"""A.K.A. Produções Artísticas Ltda""";"""SP""";"""Best Boy Productions""";"""Canadá""";"""Estrangeira""";"""SP""";;
"""46""";"""39504""";"""4""";"""Testemunho Brazil""";"""documentário""";"""25/05/2008 a 25/06/2008""";"""D´Bartolo Filmes e Entretenimento Ltda""";"""SP""";"""CDI Virtual Films Inc.""";"""Estados Unidos""";"""Estrangeira""";"""SP""";;
"""47""";"""39505""";"""3""";"""Travel Bug""";"""documentário""";"""09/03/2008 a 22/03/2008""";"""Canal Azul Produções Culturais Ltda""";"""SP""";"""NHNZ Ltd.""";"""Nova Zelândia""";"""Estrangeira""";"""AM/RJ/SP""";;
"""48""";"""39507""";"""4""";"""First Japanese: Designer Nobuyuki Ogawa, do Brasil para o Mundo""";"""programa de TV""";"""13/03/2008 a 10/04/2008""";"""Masukomi Produções Ltda""";"""SP""";"""NHK Joho Network Inc.""";"""Japão""";"""Estrangeira""";"""AM/RJ""";;
"""49""";"""39511""";"""9""";"""Daewoo Securities Tv Commercial for South Korea""";"""publicitária""";"""05/03/2008 a 01/05/2008""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Resonate Pictures, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";;
"""50""";"""39511""";"""5""";"""70 days around the world tour with Markus Kock""";"""documentário""";"""06/04/2008 a 13/04/2008""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Hyperactive Media LLC""";"""Estados Unidos""";"""Estrangeira""";"""MG/PA/RJ/SP""";;
"""51""";"""39511""";"""3""";"""Que culpa tiene el tomate?""";"""documentário""";"""05/03/2008 a 13/03/2008""";"""TV Zero Cinema Ltda""";"""RJ""";"""diversas""";"""diversos""";"""Coprodução""";"""RJ""";;
"""52""";"""39512""";"""2""";"""Funky Bahia""";"""videoclipe""";"""06/03/2008 a 17/03/2008""";"""Elimar Produções Artísticas Ltda""";"""RJ""";"""Partizan Entertainment""";"""Estados Unidos""";"""Estrangeira""";"""BA""";;
"""53""";"""39513""";"""74""";"""Amazing Race""";"""programa de TV (reality show)""";"""07/04/2008 a 07/05/2008""";"""Planeta Films S/A""";"""SP""";"""Worldrace Productions Inc.""";"""Estados Unidos""";"""Estrangeira""";"""BA/CE""";;
"""54""";"""39513""";"""2""";"""À Deriva""";"""ficção""";"""07/03/2008 a 07/05/2008""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";"""Universal Pictures International B.V.""";"""Holanda""";"""Coprodução""";"""RJ""";;
"""55""";"""39514""";"""4""";"""Eprocad""";"""documentário""";"""16/03/2008 a 19/03/2008""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Can Communicate Ltd.""";"""Inglaterra""";"""Estrangeira""";"""SP""";;
"""56""";"""39516""";"""1""";"""Ciranda de Pedra""";"""novela""";"""15/03/2008 a 05/04/2008""";"""Globo Comunicação e Participações S/A""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ""";;
"""57""";"""39517""";"""3""";"""Les nouveaux explorateurs: Nomad´s Land saison 2""";"""documentário""";"""28/03/2008 a 25/04/2008""";"""Neon Rio Ltda""";"""RJ""";"""Gedeon Programmes""";"""França""";"""Estrangeira""";"""AM""";;
"""58""";"""39517""";"""4""";"""UV Perfect""";"""publicitária""";"""16/03/2008 a 21/03/2008""";"""Ink Geração e Produção de Conteúdos Ltda""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ/SP""";;
"""59""";"""39518""";"""4""";"""NHK Special: Centenário de imigração japonesa no Brasil""";"""documentário""";"""25/03/2008 a 20/05/2008""";"""Urutau Filmes Ltda""";"""SP""";"""NHK - Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""RJ/SP""";;
"""60""";"""39520""";"""6""";"""100 anos de imigração japonesa no Brasil""";"""documentário""";"""22/03/2008 a 05/04/2008
(pré-produção)""";"""Ventura Vídeo Produções Ltda""";"""RJ""";"""Kokusaihoei Co., Ltd.""";"""Japão""";"""Estrangeira""";"""MS/SP""";;
"""61""";"""39520""";"""3""";"""""Volume Express Máscara"" e ""Superstay Lipcolor & Mineral""""";"""publicitária""";"""14/03/2008 a 30/04/2008""";"""Bossa Nova Films Criações e Produções Ltda""";"""SP""";"""Tempesta S.A.""";"""França""";"""Estrangeira""";"""SP""";;
"""62""";"""39521""";"""2""";"""Sonotoki Rekishi-ga Ugoita""";"""documentário""";"""10/04/2008 a 22/04/2008""";"""América do Sul Produções de Documentários Ltda""";"""SP""";"""NHK Media Plan, Inc.""";"""Japão""";"""Estrangeira""";"""PR/SP""";;
"""63""";"""39521""";"""3""";"""Ich wandere aus - Meine neue chance""";"""documentário""";"""24/03/2008 a 03/04/2008""";"""Aura Filme Produções Ltda""";"""RJ""";"""TV Connexion GmbH""";"""Alemanha""";"""Estrangeira""";"""AL""";;
"""64""";"""39525""";"""40""";"""Temptation Island""";"""programa de TV (reality show)""";"""27/03/2008 a 01/05/2008""";"""Neon Rio Ltda""";"""RJ""";"""Kanakna Productions""";"""Bélgica""";"""Estrangeira""";"""BA""";;
"""65""";"""39525""";"""6""";"""Samsung Cooperate TVC""";"""publicitária""";"""25/03/2008 a 25/04/2008""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Sky Film Production""";"""Austrália""";"""Estrangeira""";"""AM""";;
"""66""";"""39525""";"""1""";"""Eclipse Love Hotel""";"""publicitária""";"""39533""";"""JKR Produções Artísticas Ltda""";"""RJ""";"""Directors Films Company""";"""Holanda""";"""Estrangeira""";"""RJ""";;
"""67""";"""39527""";"""3""";"""Filme Brasileiro 1""";"""documentário""";"""06/04/2008 a 16/04/2008""";"""Sol Entertainment Ltda""";"""RJ""";"""Fact + Film Medienproduktions GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ""";;
"""68""";"""39531""";"""3""";"""Darwin Ga Kita""";"""documentário""";"""11/04/2008 a 09/07/2008""";"""América do Sul Produções de Documentários Ltda""";"""SP""";"""NHK Enterprises, Inc.""";"""Japão""";"""Estrangeira""";"""GO""";;
"""69""";"""39531""";"""1""";"""Marcha para a vida""";"""documentário""";"""24/03/2008 a 24/06/2008""";"""Conspiração Filmes Entretenimento Ltda.""";"""RJ""";"""Altina Films, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""SP""";;
"""70""";"""39533""";"""2""";"""O contador de história""";"""ficção""";"""02/04/2008 a 02/07/2008""";"""Francisco Ramalho Jr. Filmes Ltda.""";"""SP""";"""Warner Entertainment Nederland B.V.""";"""Holanda""";"""Coprodução""";"""MG/SP""";;
"""71""";"""39534""";"""5""";"""Festa""";"""publicitária""";"""30/03/2008 a 30/04/2008""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";"""Boxer Films""";"""Estados Unidos""";"""Estrangeira""";"""SP""";;
"""72""";"""39539""";"""6""";"""Lost""";"""publicitária""";"""08/04/2008 a 08/05/2008""";"""Prodigital Vagabond Filmes Ltda""";"""SP""";"""Ball-Park""";"""Rússia""";"""Estrangeira""";"""RJ""";;
"""73""";"""39540""";"""7""";"""""Small Word"" e ""GO""""";"""publicitária""";"""06/04/2008 a 30/04/2008""";"""Ocean Films Ltda""";"""SC""";"""Locksmith Content""";"""Estados Unidos""";"""Estrangeira""";"""SP""";;
"""74""";"""39542""";"""4""";"""Les Maisons du Brésil""";"""documentário""";"""10/04/2008 a 17/05/2008""";"""Neon Rio Ltda""";"""RJ""";"""Tout & Bo Productions""";"""França""";"""Estrangeira""";"""AM/BA/DF/MA/MG/RJ/SP""";;
"""75""";"""39552""";"""3""";"""Chikyu Agora #3""";"""documentário""";"""01/5/2008 a 22/06/2008""";"""América do Sul Produções de Documentários Ltda""";"""SP""";"""Amazon Incorporated""";"""Japão""";"""Estrangeira""";"""SP/PR""";;
"""76""";"""39552""";"""5""";"""Imperium Der Viren""";"""documentário""";"""27/04/2008 a 02/05/2008""";"""Aura Filme Produções Ltda""";"""RJ""";"""ColourFIELD tell a vision""";"""Alemanha""";"""Estrangeira""";"""SP""";;
"""77""";"""39553""";"""3""";"""Elite Police""";"""série para TV""";"""17/04/2008 a 05/05/2008""";"""Limite Produções Ltda""";"""RJ""";"""October Films""";"""Inglaterra""";"""Estrangeira""";"""RJ""";;
"""78""";"""39554""";"""5""";"""Beck´s Next""";"""publicitária""";"""17/04/2008 a 16/05/2008""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";"""HanraHan""";"""Inglaterra""";"""Estrangeira""";"""SP""";;
"""79""";"""39555""";"""4""";"""Hana Credit Card""";"""publicitária""";"""24/04/2008 a 27/04/2008""";"""Utopia Filmes Produção Artística Ltda""";"""RJ""";"""DUO Films""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";;
"""80""";"""39556""";"""1""";"""Life - Caiman""";"""documentário""";"""28/04/2008 a 04/05/2008""";"""Neon Rio Ltda""";"""RJ""";"""British Broadcasting Corporation""";"""Inglaterra""";"""Estrangeira""";"""MS""";;
"""81""";"""39556""";"""4""";"""Daily Planet Goes to""";"""documentário""";"""27/04/2008 a 12/08/2008""";"""Canal Azul Produções Culturais Ltda""";"""SP""";"""Exploration Production Inc. 9 Channel Nine Court Scarborough""";"""Canadá""";"""Estrangeira""";"""AM/BA/PR/RJ/SP""";;
"""82""";"""39560""";"""5""";"""Don´t worry""";"""publicitária""";"""25/04/2008 a 05/05/2008""";"""Killers Produções Cinematográficas Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""PE/SP""";;
"""83""";"""39560""";"""9""";"""Exiled""";"""programa de TV (reality show)""";"""28/04/2008 a 09/05/2008""";"""Renato Falcão""";"""RS""";"""Left/Right Inc.""";"""Estados Unidos""";"""Estrangeira""";"""MT""";;
"""84""";"""39560""";"""3""";"""Spaceship Earth""";"""documentário""";"""07/05/2008 a 06/06/2008""";"""Aquamarine Produções de Vídeo Ltda""";"""SP""";"""TBS Vision, Inc.""";"""Japão""";"""Estrangeira""";"""AM/RO/SP""";;
"""85""";"""39560""";"""8""";"""""Island"", ""Catwalk"", ""Delivery"" e ""Idents""""";"""publicitária""";"""27/04/2008 a 30/05/2008""";"""Ocean Films Ltda""";"""SC""";"""HomeCorp""";"""Inglaterra""";"""Estrangeira""";"""SP""";;
"""86""";"""39560""";"""4""";"""Sonhos de exploração - Patrimônios da Humanidade""";"""documentário""";"""09/05/2008 a 10/06/2008""";"""Urutau Filmes Ltda""";"""SP""";"""NHK - Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""MG/RJ/SP""";;
"""87""";"""39563""";"""1""";"""Dores, amores e assemelhados""";"""ficção""";"""27/04/2008 a 15/06/2008""";"""Veredas Comunicação e Arte Ltda""";"""SP""";"""FF -Filmes Fundo - Produção de Longas e Curtas -Metragens Ltda""";"""Portugal""";"""Coprodução""";"""RJ/SP""";;
"""88""";"""39563""";"""1""";"""From the streets to the catwalks""";"""documentário""";"""01/05/2008 a 05/05/2008 """;"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Christian Aid""";"""Inglaterra""";"""Estrangeira""";"""BA""";;
"""89""";"""39566""";"""2""";"""Vermist""";"""documentário""";"""06/05/2008 a 10/05/2008""";"""Mares Produções Ltda""";"""RJ""";"""Tros Broadcasting Company""";"""Holanda""";"""Estrangeira""";"""PA/SP""";;
"""90""";"""39576""";"""1""";"""A Guerra dos Vizinhos II""";"""ficção""";"""16/05/2008 a 16/07/2008""";"""XR2 Cinevideo Ltda""";"""SP""";"""Cinemate Material Cinematográfico S/A""";"""Portugal""";"""Coprodução""";"""SP""";;
"""91""";"""39574""";"""2""";"""Os mitos de criação da Humanidade""";"""documentário""";"""03/06/2008 a 10/06/2008""";"""Aura Filme Produções Ltda""";"""RJ""";"""JRF GmbH & Co. KG""";"""Alemanha""";"""Estrangeira""";"""RO""";;
