"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2010""";;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)""";
"""1""";05/01/2010;"""3""";"""National Geographic/HSBC Global Culture""";"""Documentário""";"""21/01/2010 a 03/02/2010""";"""Primitivo Produção de Vídeo e Filmes Ltda""";"""SP""";"""National Geographic Society""";"""Estados Unidos""";"""Estrangeira""";"""BA/RJ""";
"""3""";08/01/2010;"""3""";"""Rope Jump EX""";"""Programa de TV""";"""27/01/2010 a 09/02/2010""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""TFC - Tohokushinsha Film Corporation""";"""Japão""";"""Estrangeira""";"""SP""";
"""4""";12/01/2010;"""3""";"""Moccona Candles""";"""Publicitária""";"""03/02/2010 a 13/02/2010""";"""Utopia Filmes Produção Artística Ltda""";"""RJ""";"""Cherub Pictures Pty Ltd.""";"""Austrália""";"""Estrangeira""";"""RJ""";
"""5""";13/01/2010;"""2""";"""Carnival""";"""Publicitária""";"""13/01/2010 a 20/01/2010""";"""JKR Produções Artísticas Ltda""";"""RJ""";"""H2O Films""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""6""";19/01/2010;"""1""";"""Hino Promoção""";"""Publicitária""";"""20/01/2010 a 11/02/2010""";"""Paranoid Brasil Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""7""";19/01/2010;"""2""";"""Vom blatt bis zur zigarette""";"""Documentário""";"""28/01/2010 a 04/02/2010""";"""Aura Filme Produções Ltda.""";"""RJ""";"""SF Schweizer Fernsehen""";"""Suíça""";"""Estrangeira""";"""RS""";
"""8""";22/01/2010;"""3""";"""The World Heritage""";"""Documentário""";"""20/02/2010 a 21/03/2010""";"""Aquamarine Produções de Vídeo Ltda.""";"""SP""";"""TBS Vision Inc.""";"""Japão""";"""Estrangeira""";"""AP/AM""";
"""9""";22/01/2010;"""5""";"""Discovery of the world´s mysteries""";"""Documentário""";"""05/02/2010 a 10/03/2010""";"""Town Network Filmagens Ltda.""";"""SP""";"""TV Man Union Inc.""";"""Japão""";"""Estrangeira""";"""RJ/MS/PR""";
"""10""";22/01/2010;"""2""";"""Grenzeloos Verliefd""";"""Docu-reality""";"""28/01/2010 a 02/02/2010""";"""Rex Produções Audiovisuais Ltda.""";"""SP""";"""SNP Media""";"""Holanda""";"""Estrangeira""";"""MG""";
"""11""";22/01/2010;"""4""";"""Omo have a go""";"""Publicitária""";"""30/01/2010 a 06/02/2010""";"""Limite Produções Ltda.""";"""RJ""";"""Plastic Pictures Ltd.""";"""Inglaterra""";"""Estrangeira""";"""RJ""";
