"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2011""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";"""Data da Aprovação""";"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
1;11/01/2011;1;"""Accenture""";"""Institucional""";"""16/01/2011 a 18/01/2011""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Corra Films""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
2;11/01/2011;5;"""Anthony Bourdain, no reservations: Brazil""";"""Documentário""";"""17/01/2011 a 26/01/2011""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Zero Point Zero Production, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""PA"""
3;25/01/2011;3;"""Goodbye Deutschland""";"""Documentário""";"""1º etapa: 27/01/2011 a 02/02/2011 
2ª etapa: 06/05/2011 a 10/05/2011 """;"""Aura Filme Produções Ltda.""";"""RJ""";"""InfoNetwork GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ"""
4;26/01/2011;3;"""La huella de sepé""";"""Documentário""";"""02/02/2011 a 17/02/2011""";"""Rafael Geber Andreazza - ME""";"""RS""";"""Lucía Fernandez Cordano""";"""Uruguai""";"""Estrangeira""";"""RS"""
5;26/01/2011;4;"""Fanta, Big bounce""";"""Publicitária""";"""07/02/2011 a 15/02/2011""";"""Conspiração Filmes S/A""";"""RJ""";"""B-Reel Films""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
6;26/01/2011;4;"""60 Minutes Program""";"""Documentário""";"""10/02/2011 a 24/02/2011""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Nine Network Australia Pty Ltd""";"""Austrália""";"""Estrangeira""";"""RJ"""
7;31/01/2011;2;"""Travel show""";"""Documentário""";"""07/02/2011 a 11/02/2011""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Jarowski Enterprises""";"""Suécia""";"""Estrangeira""";"""RJ"""
8;01/02/2011;3;"""Mordu de la pechê / Fishing adventurer TV Show""";"""Documentário""";"""16/02/2011 a 24/02/2011""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""Les Productions les Aventuries de la Pechê""";"""Canadá""";"""Estrangeira""";"""AM"""
9;01/02/2011;5;"""Jaycee Gossett dance the world""";"""Documentário""";"""25/02/2011 a 05/03/2011""";"""Primitivo Produção de Vídeo e Filmes Ltda.""";"""SP""";"""Zero Point Zero Production, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""BA"""
10;02/02/2011;2;"""Shittoko! Sekai no asa gohan""";"""Documentário""";"""23/02/2011 a 02/03/2011""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Project Dawn, Inc.""";"""Japão""";"""Estrangeira""";"""SP"""
