"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2012""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""1""";06/01/2012;"""1""";"""Floating Production Storage And Offloading Parte 2""";"""Institucional""";"""08/01/2012 a 15/01/2012""";"""Neon Rio Ltda.""";"""RJ""";"""BMC - Broadcasting Mediacom""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""2""";06/01/2012;"""10""";"""Aliens For Ng""";"""Documentário""";"""28/01/2012 a 11/02/2012""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda.""";"""RJ""";"""Snake Oil Productions""";"""Estados Unidos""";"""Estrangeira""";"""MG"""
"""3""";09/01/2012;"""4""";"""Dom Helder And The Second Vatican Council""";"""Documentário""";"""12/02/2012 a 20/02/2012""";"""Sol Entertainment Ltda.""";"""RJ""";"""Sudwestrundfunk""";"""Alemanha""";"""Estrangeira""";"""PE/RJ/SP"""
"""4""";09/01/2012;"""5""";"""Around The World""";"""Documentário""";"""10/02/2012 a 20/02/2012""";"""Primitivo Produção de Vídeo e Filmes Ltda.""";"""SP""";"""Part 2 Pictures LLC""";"""Estados Unidos""";"""Estrangeira""";"""BA"""
"""5""";10/01/2012;"""5""";"""Por Avião""";"""Documentário""";"""16/01/2012 a 25/03/2012""";"""Bonfilm Produção e Distribuição Audiovisual Ltda.""";"""RJ""";"""Magneto Presse""";"""França""";"""Estrangeira""";"""AL/BA/ES/PA/RJ/RS/SC/SP"""
"""005-1""";26/01/2012;"""Cancelamento do projeto""";"""Por Avião""";"""Documentário""";"""xxx """;"""xxx """;"""xxx """;"""xxx """;"""xxx """;"""Estrangeira""";"""xxx """
"""6""";11/01/2012;"""2""";"""Natural World: Jaguar Man - Parte 2""";"""Documentário""";"""15/01/2012 a 07/02/2022""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation - Bristol""";"""Reino Unido""";"""Estrangeira""";"""GO"""
"""7""";16/01/2012;"""2""";"""Finding Josef""";"""Ficção""";"""20/01/2012 a 30/03/2012""";"""Larty Mark Ltda.""";"""BA""";"""xxx""";"""xxx""";"""Brasileira""";"""BA/DF/RJ"""
"""8""";16/01/2012;"""3""";"""Shinshu No Hitobito""";"""Documentário""";"""06/02/2012 a 21/02/2012""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Asahi Broadcasting Nagano""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
"""9""";16/01/2012;"""5""";"""Deadly 60""";"""Documentário""";"""04/02/2012 a 12/02/2012""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""British Broadcasting Corporation - Bristol""";"""Reino Unido""";"""Estrangeira""";"""AM"""
