"""Listagem de Autorizações de Produções Audiovisuais no Brasil com Participação de Profissionais Estrangeiros - 2014""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""1""";03/01/2014;"""4""";"""FACEBOOK STORIES - THE SETREET POET""";"""Publicitária""";"""13/01/2014 a 20/01/2014""";"""Southside Produções Ltda.""";"""SP""";"""Already Alive Ltd.""";"""EUA""";"""Estrangeira""";"""GO/SP"""
"""2""";07/01/2014;"""5""";"""JOHNY IN ORANGE""";"""Documentário""";"""12/02/2014 a 24/02/2014""";"""Moises Zeferino ME""";"""SP""";"""Talpa Producties BV.""";"""Holanda""";"""Estrangeira""";"""RJ"""
"""3""";07/01/2014;"""3""";"""MIRACLE BODY - BRAZIL""";"""Documentário""";"""19/01/2014 a 05/02/2014""";"""Xes Projetos Visuais Ltda""";"""SP""";"""NHK - Japan Broadcasting Co.""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
"""4""";07/01/2014;"""2""";"""GALILEO (""GERMANY MEETS & THE ORANGE JUICE PRODUCTION OF BRAZIL)""";"""Documentário""";"""18/01/2014 a 26/01/2014""";"""Aura Filme Produções Ltda""";"""RJ""";"""Maximus Film GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ/SP"""
"""5""";09/01/2014;"""4""";"""RISE AS ONE MATCH FOR PEACE""";"""Documentário""";"""23/01/2014 a 29/01/2014""";"""Zona de Produção e Comunicação Ltda""";"""BA""";"""Tarras Productions""";"""EUA""";"""Estrangeira""";"""RJ"""
"""6""";09/01/2014;"""4""";"""RIO WC TITLES""";"""Chamadas""";"""22/01/2014 a 28/01/2014""";"""Union Filmes Ltda""";"""PR""";"""ITV Sport""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""7""";09/01/2014;"""9""";"""GAP YEAR""";"""Documentário""";"""14/02/2014 a 06/04/2014""";"""Zona de Produção e Comunicação Ltda""";"""BA""";"""RK Productions""";"""Austrália""";"""Estrangeira""";"""AM/RJ"""
"""8""";09/01/2014;"""1""";"""CLEAR LAURA""";"""Publicitária""";"""02/02/2014 a 06/02/2014""";"""Conspiração Filmes Entretenimento 3º Milênio Ltda.""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""RJ"""
"""9""";13/01/2014;"""6""";"""WATERFRONT CITIES OF THE WORLD IV""";"""Documentário""";"""02/02/2014 a 02/04/2014""";"""Embaúba Produções""";"""RJ""";"""DBC2 / Dbcom Media""";"""Canadá""";"""Estrangeira""";"""AM/RJ"""
"""10""";13/01/2014;"""4""";"""VERIZON DOCU-SERIES""";"""Publicitária""";"""15/01/2014 a 15/02/2014""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""RD Independent Productions LLC""";"""EUA""";"""Estrangeira""";"""SP"""
