Listagem de Autorizações de Produções Audiovisuais no Brasil com Participação de Profissionais Estrangeiros 2017;;;;;;;;;;;
;;;;;;;;;;;
Número de Autorização de Origem;Data da Aprovação;"Número de Técnicos/
Artistas Estrangeiros";Título da Obra;Tipo de Obra;Período Produção;Empresa Brasileira;UF;Empresa Estrangeira;País;Produção;Local de Filmagem (UF)
1;02/01/2017;2;"""Invitations Aux Voyages""";Documentário;"""03 a 25 de janeiro 2017""";Camelô Produções ;RJ;"""ELEPHANT DOC""";"""França""";Produção Estrangeira;"""Petrópolis e Rio de Janeiro (RJ); Ilhéus (e arredores) e Salvador (BA)"""
2;04/01/2017;1;"""Altura""";Obra Publicitária;"""05 a 30 de janeiro de 2017""";Cinnergia Produções LTDA-ME;SC;"""Nunchaku""";"""Argentina""";Produção Estrangeira;"""São Paulo (SP)"""
3;05/01/2017;2;"""Movies Around the World""";Documentário / Institucional;"""19 a 22 de janeiro de 2017""";Alo Video Ltda.;RJ;"""Mill Valley Group""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
5;06/01/2017;3;"""Tomato Production""";Institucional;"""13 a 19 de janeiro de 2017""";Brian Sewell Produções Cinematográficas;RJ;"""Stichting Omroep Venlo""";"""Holanda""";Produção Estrangeira;"""Curitiba (PR); Florianópolis (SC)"""
6;06/01/2017;2;"""Gatorade""";Obra Publicitária;"""18 a 28 de janeiro de 2017""";D+ Projetos Artísticos Ltda.;RJ;"""ALLDAYEVERYDAY PRODUCTIONS LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
4;10/01/2017;5;"""Rio, la plage""";Documentário;"""07 de janeiro a 05 de fevereiro de 2017""";Aura Filme Produções Ltda.;RJ;"""CINÉTÉVÉ""";"""França""";Produção Estrangeira;"""Rio de Janeiro (RJ); Recife (PE)"""
7;12/01/2017;3;"""Samba""";Documentário;"""14 a 16 de janeiro de 2017""";Sol Entertainment Ltda.;RJ;"""Endemol Portugal Unipessoal Lda""";"""Portugal""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
9;13/01/2017;11;"""A Single Origin""";Documentário;"""19 de fevereiro a 05 de março de 2017""";Illuminati Produções Cinematográficas Ltda ;DF;"""Due B Srl""";"""Itália""";Produção Estrangeira;"""São Paulo (SP); Rio de Janeiro (RJ); Paraty (RJ); Carmo do Paranaíba (MG) """
8;16/01/2017;22;"""Divas Hit The Road""";Documentário;"""10 de fevereiro a 07 de março de 2017""";Neon Rio Ltda;RJ;"""HUNAN BROADCASTING SYSTEM""";"""China""";Produção Estrangeira;"""Rio de Janeiro (RJ); Manaus (AM)"""
10;16/01/2017;23;"""How Far""";Ficção / Reality Show;"""20 de janeiro a 04 de fevereiro de 2017""";Connection Filmes e produções artísticas LTDA. ;RJ;"""Koda Entertainment""";"""Israel""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
11;17/01/2017;16;"""Old Navy""";Obra Publicitária;"""08 a 12 de fevereiro de 2017""";Movi & Art Produções Cinematográficas LTDA;SP;"""The Directors Bureau""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
13;18/01/2017;4;"""Job Swap 1""";Reality Show;"""21 de janeiro a 10 de fevereiro 2017""";Sol Entertainment Ltda.;RJ;"""Constantin Entertainment""";"""Alemanha""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
19;19/01/2017;2;"""Great Nature""";Documentário;"""05 de fevereiro a 05 de março de 2017""";Sango Productions Ltda.;SP;"""Nihon Denpa News Co. Ltd""";"""Japão""";Produção Estrangeira;"""Barreirinhas (MA); Cuiabá (MT); Campo Grande (MS)"""
14;20/01/2017;2;"""Expedition Anaconda""";Documentário;"""11 de fevereiro a 12 de março de 2017""";Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Mande In The Wild Ltd.""";"""Reino Unido""";Produção Estrangeira;"""Belém, Altamira e Vitória do Xingu (PA)"""
15;20/01/2017;3;"""The World Heritage""";Documentário;"""01 a 30 de março de 2017""";WaSabi JB Comunicação Ltda.;RJ;"""TBS Vision Inc""";"""Japão""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
16;23/01/2017;3;"""National Dishes""";Documentário;"""07 a 14 de fevereiro de 2017""";Maruti Blue Produções e Eventos Eireli;RJ;"""August Pictures""";"""Singapura""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
17;24/01/2017;9;"""On the Road""";Documentário;"""15 de março a 15 de abril de 2017""";Francisco Ferreira Pinto Filho - ME;AM;"""Huang Yu Xing Ye Media Ltd""";"""China""";Produção Estrangeira;"""Manaus (AM)"""
20;31/01/2017;2;"""Made In Japan 2017""";Documentário;"""12 a 22 de fevereiro de 2017""";Xes Projetos Visuais Ltda;SP;"""Yellow Co. Ltd.""";"""Japão""";Produção Estrangeira;"""Uruguaiana e Porto Alegre (RS); São Paulo (SP)"""
22;01/02/2017;3;"""World through their eyes in Brazil""";Institucional;"""12 a 23 de fevereiro de 2017""";WaSabi JB Comunicação Ltda.;RJ;"""Panasonic Visuals Co., Ltd""";"""Japão""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
24;02/02/2017;7;"""Counter-Tourism""";Reality Show;"""22 de fevereiro a 19 de março de 2017""";Next Eventos e Produções Ltda.;RJ;"""Soundcolor Stuidos Inc.""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ); Manaus (AM); São Paulo (SP)"""
25;02/02/2017;2;"""SDG Academy (Eco Systems)""";Vídeo Educativo;"""11 a 19 de fevereiro de 2017""";Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Kontentreal""";"""Estados Unidos da América""";Produção Estrangeira;"""Manaus (AM)"""
26;03/02/2017;1;"""Campanha 2017""";Obra Publicitária;"""06 a 12 de fevereiro de 2017""";Killers Filmes Ltda. ;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
23;06/02/2017;7;"""Nascimento de uma Criança e Pescaria Ribeirinha""";Documentário;"""10 de fevereiro a 23 de março de 2017""";Neon Rio Ltda;RJ;"""BBC Natural History Unit""";"""Reino Unido""";Produção Estrangeira;"""Sinop e Vilhena (MT)"""
27;06/02/2017;3;"""Animals With Cameras""";Documentário;"""21 de fevereiro a 12 de março de 2017""";Neon Rio Ltda;RJ;"""BBC Natural History Unit""";"""Reino Unido""";Produção Estrangeira;"""Porto Alegre (RS)"""
30;09/02/2017;4;"""Legado Rio 2016 - Lições para Tokyo 2020""";Documentário;"""14 de fevereiro a 01 de março de 2017; 01 a 15 de abril de 2017""";Xes Projetos Visuais Ltda;SP;"""NTV International Co""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ); São Paulo (SP); Brasília (DF)"""
31;10/02/2017;2;"""Aimetis Case Study: Arena Corinthians""";Institucional;"""20 de fevereiro de 2017""";Paiva Produções Audiovisuais Ltda;RJ;"""Skylight Video Productions""";"""Canadá""";Produção Estrangeira;"""São Paulo (SP)"""
29;13/02/2017;2;"""This is Further""";Obra Publicitária;"""22 de fevereiro de 2017 a 12 de março de 2017""";Domo Produções Ltda.;SP;"""Big Nest Creative""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
33;13/02/2017;5;"""New Steps""";Obra Publicitária;"""15 de fevereiro de 2017 a 15 de março de 2017""";Domo Produções Ltda.;SP;"""Pretty Bird Productions""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
