Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros 2019;;;;;;;;;;;;
;;;;;;;;;;;;
Data de Solicitação;Tipo de Ofício;"Número de Técnicos/
Artistas Estrangeiros";Título da Obra;Tipo de Obra;Período Produção;Empresa Brasileira;UF;Empresa Estrangeira;País;Nacionalidade da Produção;Local de Filmagem (UF);""""
01/07/2019;Comunicação filmagem estrangeira;1;Casa de Antiguidades;Ficção;15/07/2019 a 10/08/2019;BE BOSSA NOVA Criações e Produções S.A.;SP; -; -;Brasileira;"""Treze Tílias (SC)""";
07/01/2019;Comunicação filmagem estrangeira;4;The Snake Island (Ilha das Cobras);Documentário;05/02/2019 a 15/02/2019;TR Somogyi Produções;RJ;"""Nine Entertainment Co.""";Austrália;Estrangeira;"""Itanhaém (SP), São Paulo (SP), Botucatu (SP)""";
08/01/2019;Comunicação filmagem estrangeira;1;Take Out;Documentário;15/01/2019 a 04/02/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""São Paulo (SP), Piraí do Norte (BA), Brasília (DF)""";
09/01/2019;Comunicação filmagem estrangeira;3;90 Day Fiance - The Other Way;Outro;16/01/2019 a 24/02/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""Manaus (AM), Tonantins (AM)""";
09/01/2019;Comunicação filmagem estrangeira;1;90 Day Fiance - The Other Way;Outro;16/01/2019 a 24/02/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""Manaus (AM), Tonantins (AM)""";
09/01/2019;Comunicação filmagem estrangeira;4;Bios - 2da filmagem;Documentário;15/01/2019 a 17/01/2019;Sol Entertainment Ltda;RJ;"""Underground Producciones SA""";Argentina;Estrangeira;"""Rio de Janeiro (RJ)""";
16/01/2019;Alteração e inclusão de profissionais;1;Citi/AA Platinum;Obra Publicitária;25/01/2019 a 30/01/2019;Domo Produções Ltda;SP;"""Mermade""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
16/01/2019;Comunicação filmagem estrangeira;4;Citi/AA Platinum;Obra Publicitária;25/01/2019 a 30/01/2019;Domo Produções Ltda;SP;"""Mermade""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
16/01/2019;Comunicação filmagem estrangeira;3;Citi/AA Platinum;Obra Publicitária;25/01/2019 a 30/01/2019;Domo Produções Ltda;SP;"""Mermade""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
17/01/2019;Comunicação filmagem estrangeira;1;LAIC;Institucional;28/01/2019 a 30/01/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
17/01/2019;Comunicação filmagem estrangeira;2;Mills Shoot;Institucional;22/01/2019 a 24/01/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
17/01/2019;Alteração e inclusão de profissionais;1;The Snake Island (Ilha das Cobras);Documentário;05/02/2019 a 15/02/2019;TR Somogyi Produções;RJ;"""Nine Entertainment Co.""";Austrália;Estrangeira;"""Itanhaém (SP), São Paulo (SP), Botucatu (SP)""";
