Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição com Valores Captados através de Mecanismos de Incentivo e Fundo Setorial do Audiovisual - 1995 a 2019;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);Projeto de incentivo aprovado?;Art. 18;Art. 25;Art. 1º;Art. 1 º A;Art. 3º;Art. 3º A;Conversão da dívida;Art. 39;Funcines;FSA;Outras Fontes;Valor Total Captado/ Contratados(R$)
1995;B0400064200000;A Causa Secreta;Sérgio Bianchi;Ficção;Agravo Produções Cinematográficas;SP; -; -;RioFilme;ND;3.000;15.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1995;B0500310700000;Carlota Joaquina, Princesa do Brazil;Carla Camurati;Ficção;Copacabana Filmes e Produções;RJ; -; -;Elimar;33;1.286.000;6.430.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1995;B0500264600000;Carmen Miranda - Bananas is my Business;Helena Solberg;Documentário;Radiante Filmes;RJ; -; -;RioFilme;ND;15.470;90.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1995;Sem CPB;Cinema de Lágrimas;Nelson Pereira dos Santos;Ficção;Meta Vídeo Produções;RJ; -; -;RioFilme;ND;1.575;7.500,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1995;B0300012900000;Efeito Ilha;Luiz Alberto Pereira;Ficção;Lapfilme;SP; -; -;RioFilme;ND;3.000;15.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1995;B0500311400000;Louco por Cinema;André Luiz Oliveira;Ficção;Asacine Produções;DF; -; -;RioFilme;ND;12.991;60.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1995;B0700675000000;Menino Maluquinho - O Filme;Helvécio Ratton;Ficção;Grupo Novo de Cinema e TV;RJ; -; -;S. Ribeiro/RioFilme;31;397.023;1.532.509,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1995;B1101392800000;O Mandarim;Julio Bressane;Ficção;Julio Bressane;RJ; -; -;RioFilme;ND;7.616;35.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1995;B0500309200000;O Quatrilho;Fábio Barreto;Ficção;Filmes do Equador;RJ; -; -;S. Ribeiro;64;1.117.154;4.513.302,00;Sim;182.000,00; - ;948.552,00; - ; - ; - ; - ; - ; - ; -; -;1.130.552,00
1995;B0500434300000;Perfume de Gardênia;Guilherme de Almeida Prado;Ficção;Star Filmes ;SP; -; -;RioFilme;ND;9.077;55.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1995;B0500277600000;Sábado;Ugo Giorgetti;Ficção;Iguana Filmes;SP; -; -;Mais Filmes;ND;155.000;906.750,00;Sim; - ; - ;283.000,00; - ; - ; - ; - ; - ; - ; -; -;283.000,00
1995;Sem CPB;Super Colosso;Luiz Ferré;Ficção;Play Vídeo Produções para Cinema e Televisão;SP; -; -;Paris;216;154.762;506.027,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
