Listagem dos Agentes Econômicos Registrados na Ancine;;;;;;;;;
;;;;;;;;;
Registro Ancine;CNPJ;Razão Social;Atividade Econômica Principal;Natureza Jurídica;Munícipio;UF;Data do Primeiro Registro na Ancine;Data de Abertura da Empresa;Agente Econômico Brasileiro Independente
32426;10.539.519/0001-04;+2 PRODUÇÕES CULTURAIS - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;22/03/2016;08/12/2008;SIM
46572;23.705.524/0001-83;+242 COMUNICACAO LTDA-ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;BRASÍLIA;DF;11/09/2020;19/11/2015;SIM
32105;23.900.119/0001-16;021 PROJETOS ARTÍSTICOS E CULTURAIS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;19/02/2016;30/12/2015;SIM
23809;17.659.837/0001-40;051 CINE & VIDEO LTDA. - EPP;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;19/04/2013;13/02/2013;SIM
44650;29.318.673/0001-76;1 KILO GRAVADORA E EDITORA EIRELI;Atividades de gravação de som e de edição de música;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);RIO DE JANEIRO;RJ;25/11/2019;22/12/2017;SIM
40963;30.296.795/0001-98;1 PORCENTO FILMES E PRODUCOES CINEMATOGRAFICAS EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);RECIFE;PE;30/08/2018;25/04/2018;SIM
13798;06.697.739/0001-80;100% IMAGE LIMITADA;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;OSASCO;SP;09/05/2008;29/04/2004;NÃO
38356;00.591.588/0001-03;1000 IDEIAS COMERCIO, IMPORTACAO E EXPORTACAO EIRELI;Comércio varejista de outros artigos de uso doméstico não especificados anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);JUNDIAÍ;SP;05/12/2017;02/05/1995;SIM
349;35.892.546/0001-89;1001 FILMES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;10/03/2004;12/12/1989;SIM
16738;10.174.254/0001-80;1001 FILMES PRODUCOES E EVENTOS LTDA;Estúdios cinematográficos;Sociedade Empresária Limitada;MANAUS;AM;23/03/2010;20/06/2008;SIM
44478;32.846.484/0001-80;100LIMITESFILMES LTDA.;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;BELO HORIZONTE;MG;05/11/2019;21/02/2019;SIM
43320;12.781.136/0001-65;10D FILMES EIRELI;Produção de filmes para publicidade;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;27/06/2019;28/10/2010;SIM
13740;02.792.085/0001-13;10ML PRODUÇÕES ARTÍSTICAS LTDA ME;Comércio atacadista de artigos de escritório e de papelaria;Sociedade Empresária Limitada;ITAJAÍ;SC;25/04/2008;14/10/1998;SIM
24110;17.494.118/0001-16;11 VISUALS PRODUÇÕES DE FILMES LTDA - ME;Produção de filmes para publicidade;Sociedade Empresária Limitada;FLORIANÓPOLIS;SC;16/05/2013;25/01/2013;SIM
46584;38.034.594/0001-24;123E LIVE LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;CASCAVEL;PR;14/09/2020;10/08/2020;SIM
34840;16.701.312/0001-62;127ML COMUNICACAO LTDA -ME;Serviços de organização de feiras, congressos, exposições e festas;Sociedade Empresária Limitada;SÃO PAULO;SP;12/12/2016;07/08/2012;SIM
12127;06.013.078/0001-27;13 PRODUÇÕES E LOCAÇÕES LTDA-ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;30/03/2007;10/11/2003;SIM
40952;16.876.535/0001-60;144 COMUNICACAO LTDA;Promoção de vendas;Sociedade Empresária Limitada;CURITIBA;PR;28/08/2018;14/09/2012;SIM
42127;07.082.331/0001-67;14BISNESS BASE DE INOVAÇÕES E SOLUÇÕES LTDA;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;Sociedade Simples Limitada;BRASÍLIA;DF;31/01/2019;16/09/2004;SIM
30850;09.349.774/0001-05;16 3 PRODUCOES ARTISTICAS E CULTURAIS LTDA;Produção teatral;Sociedade Empresária Limitada;SÃO PAULO;SP;31/08/2015;11/01/2008;SIM
48482;36.204.331/0001-90;17 FILMES E PRODUÇÕES LTDA.;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;25/05/2021;31/01/2020;SIM
1307;05.588.719/0001-09;1986U10 COMERCIAL FILMES LTDA.-EPP;Distribuição cinematográfica, de vídeo e de programas de televisão;Sociedade Empresária Limitada;SALTO;SP;20/05/2003;04/04/2003;SIM
24613;14.958.749/0001-50;1A CASA PRODUCOES AUDIOVISUAIS E MULTICULTURAIS EIRELI;Serviços de organização de feiras, congressos, exposições e festas;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);CANELA;RS;10/07/2013;26/01/2012;SIM
34899;22.245.776/0001-04;1M1 ENTRETENIMENTO E PRODUÇÕES ARTÍSTICAS LTDA.;Produção musical;Sociedade Empresária Limitada;SÃO PAULO;SP;19/12/2016;14/04/2015;NÃO
45862;28.385.363/0001-01;1SAT TELECOMUNICAÇÕES LTDA.;Operadoras de televisão por assinatura por satélite;Sociedade Empresária Limitada;UBERLÂNDIA;MG;12/06/2020;10/08/2017;NÃO
47841;24.690.672/0001-34;2 OAKS PRODUCOES CINEMATOGRAFICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;02/03/2021;29/04/2016;SIM
15985;11.085.133/0001-24;2 OLHARES PRODUÇÕES AUDIOVISUAIS EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);RIO DE JANEIRO;RJ;11/09/2009;25/08/2009;SIM
42620;29.534.490/0001-98;2 RIOS PROPAGANDA E PROJETOS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;TERESINA;PI;01/04/2019;25/01/2018;SIM
46916;38.409.721/0001-22;2.2 PRODUÇÕES ARTÍSTICAS E ENTRETENIMENTO LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;08/10/2020;10/09/2020;SIM
5222;02.019.144/0001-15;2.8 1/2 PRODUÇÕES CINEMATOGRÁFICAS S/S LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;SÃO PAULO;SP;21/12/2005;03/07/1997;SIM
20627;11.201.674/0001-70;21 COMUNICAÇÃO E MARKETING LTDA;Agências de publicidade;Sociedade Empresária Limitada;BELO HORIZONTE;MG;16/01/2012;06/10/2009;SIM
34662;15.001.379/0001-21;22 TANGO MARKETING E TREINAMENTO LTDA;Ensino de arte e cultura não especificado anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;14/11/2016;06/01/2012;SIM
48268;27.369.757/0001-03;2291 CONTEUDO - MARKETING E PRODUCAO DE VIDEO LTDA;Marketing direto;Sociedade Empresária Limitada;SÃO PAULO;SP;28/04/2021;23/03/2017;SIM
20821;14.957.663/0001-03;24 QUADROS PRODUÇÃO AUDIOVISUAL E MULTIMÍDIA ME;Produção de filmes para publicidade;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);CURITIBA;PR;07/02/2012;22/11/2011;SIM
157;02.919.018/0001-17;24 VPS - FILMES LTDA. ME.;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;13/06/2002;08/10/1998;SIM
47434;39.377.474/0001-92;24/7 PRODUÇÃO AUDIOVISUAL LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;SÃO PAULO;SP;14/12/2020;09/10/2020;SIM
1018;05.370.290/0001-89;27 PRODUÇÕES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;06/02/2004;10/10/2002;SIM
41625;31.683.083/0001-94;273 PRODUCAO DE FILMES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;BELO HORIZONTE;MG;19/11/2018;04/10/2018;SIM
39918;12.905.197/0001-97;2AOCUBO PRODUÇÕES LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;AMERICANA;SP;24/05/2018;09/11/2010;SIM
32246;07.171.073/0001-95;2BB2 PRODUÇÕES ARTÍSTICAS LTDA. - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;03/03/2016;14/01/2005;SIM
47073;38.158.289/0001-44;2BCHOSEN AGENCY LTDA;Agências de publicidade;Sociedade Empresária Limitada;BALNEÁRIO CAMBORIÚ;SC;04/11/2020;20/08/2020;SIM
36308;17.751.943/0001-59;2BE SOLUCOES DIGITAIS LTDA-ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;10/05/2017;01/03/2013;SIM
48763;33.915.131/0001-58;2C PRODUTORA E DISTRIBUIDORA AUDIOVISUAL EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;24/06/2021;13/06/2019;SIM
40913;10.502.659/0001-08;2D LUTIIS FILMES;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;23/08/2018;25/11/2008;NÃO
36054;22.104.355/0001-63;2D PRODUCOES E COMUNICACAO LTDA - ME;Serviços de organização de feiras, congressos, exposições e festas;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;05/04/2017;23/03/2015;SIM
50154;34.461.346/0001-09;2F PRODUÇÕES CINEMATOGRÁFICAS LTDA;Estúdios cinematográficos;Sociedade Empresária Limitada;SÃO PAULO;SP;17/12/2021;07/08/2019;NÃO
46589;36.265.066/0001-50;2IN1 PRODUÇÕES E DESIGN DIGITAL LTDA;Atividades de gravação de som e de edição de música;Sociedade Empresária Limitada;BRASÍLIA;DF;14/09/2020;05/02/2020;SIM
36261;23.153.170/0001-01;2JBG LTDA;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;03/05/2017;26/08/2015;SIM
21026;14.619.814/0001-13;2K FILMES LTDA;Produção de filmes para publicidade;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);GOIÂNIA;GO;05/03/2012;16/11/2011;SIM
40768;27.513.367/0001-65;2L COMUNICACAO E PUBLICIDADE LTDA;Impressão de material para uso publicitário;Sociedade Empresária Limitada;BRASÍLIA;DF;16/08/2018;29/03/2017;SIM
41401;27.932.716/0001-83;2M PRODUÇÕES CINEMATOGRÁFICAS LTDA.;Atividades de artistas plásticos, jornalistas independentes e escritores;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;18/10/2018;08/06/2017;SIM
48014;37.197.719/0001-74;2MO PRODUÇÕES ARTÍSTICAS LTDA;Produção musical;Sociedade Empresária Limitada;SÃO JOSÉ DO RIO PRETO;SP;24/03/2021;27/04/2020;NÃO
37328;16.672.968/0001-02;2S PRODUCOES ARTISTICAS LTDA. - ME;Produção musical;Sociedade Empresária Limitada;LONDRINA;PR;14/08/2017;19/07/2012;SIM
46715;05.093.440/0001-54;2XR PRODUÇÕES ARTÍSTICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;22/09/2020;11/04/2002;SIM
32635;14.293.235/0001-23;3 APITOS MARKETING CULTURAL E ESPORTIVO LTDA;Produção teatral;Sociedade Empresária Limitada;SÃO PAULO;SP;11/04/2016;23/08/2011;SIM
39222;29.917.265/0001-30;3 ATOS FILMES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;MARINGÁ;PR;02/04/2018;13/03/2018;SIM
37286;28.229.662/0001-57;3 BRASIS AUDIOVISUAL MULTIPLATAFORMA & ECONOMIA CRIATIVA LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RECIFE;PE;09/08/2017;20/07/2017;SIM
48367;10.363.565/0001-97;3 DE TEATRO LTDA ME;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;10/05/2021;28/08/2008;SIM
3543;06.990.542/0001-35;3 DK CONSULTORIA E COMUNICAÇÃO LTDA;Consultoria em publicidade;Sociedade Empresária Limitada;PALMAS;TO;28/03/2005;10/09/2004;SIM
46712;22.954.049/0001-16;3 EM 1 ENTRETENIMENTO E PRODUCOES ARTITICAS LTDA;Serviços de organização de feiras, congressos, exposições e festas;Sociedade Empresária Limitada;MACEIÓ;AL;22/09/2020;29/07/2015;SIM
45134;11.456.354/0001-61;3 HOUSE COMUNICACAO EM ARTE GRAFICA - EIRELI;Edição de cadastros, listas e outros produtos gráficos;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);CAMPINAS;SP;14/02/2020;22/12/2009;SIM
35206;24.042.649/0001-33;3 PARA 1 PROJETOS E PRODUÇÕES LTDA;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;25/01/2017;25/01/2016;SIM
11970;08.306.130/0001-69;3 PRODUÇÕES E EVENTOS LTDA ME;Serviços de organização de feiras, congressos, exposições e festas;Sociedade Empresária Limitada;UBERLÂNDIA;MG;01/03/2007;13/09/2006;SIM
13520;09.107.296/0001-19;3 TABELA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;25/02/2008;04/10/2007;SIM
35229;25.026.937/0001-67;3 TABELAS PRODUTORA DE VIDEO - EIRELI - ME;Produção de filmes para publicidade;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);GOIÂNIA;GO;26/01/2017;17/06/2016;SIM
18735;11.654.455/0001-47;3 TIMES 1 PRODUCOES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;03/05/2011;18/02/2010;SIM
