Público, Renda e Número de Lançamentos por Tipo de Distribuidora 2009 a 2019;;;;;;;;;;;
;;;;;;;;;;;
;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
Público Total;176.433.168;163.454.506;181.226.407;184.327.360;173.022.827;155.612.992;149.518.269;146.598.376;143.206.574;134.836.791;112.670.935
Distribuidoras Internacionais;141.943.797;126.156.576;142.915.293;138.788.947;128.774.105;112.381.738;98.870.054;99.623.836;103.541.234;95.484.714;85.996.359
Distribuidoras Nacionais;34.372.149;37.297.930;37.850.701;45.537.173;42.611.690;43.231.254;48.389.449;46.549.918;39.657.066;35.485.353;26.358.499
Codistribuição Internacionais - Nacionais;117.222; -;460.413;1.240;1.637.032; -;2.258.766;424.622;8.274;3.866.724;316.077
Público - Filmes Brasileiros;24.077.751;24.239.873;17.358.513;30.413.839;22.500.563;19.060.705;27.789.804;15.654.862;17.687.772;25.687.438;16.075.429
Distribuidoras Internacionais;1.381.611;348.467;1.184.387;1.105.980;1.525.224;3.732.562;1.688.811;2.768.493;5.359.393;6.119.738;10.181.957
Distribuidoras Nacionais;22.578.918;23.891.406;15.713.713;29.306.619;19.338.307;15.328.143;23.842.227;12.461.747;12.320.105;15.700.976;5.577.395
Codistribuição Internacionais - Nacionais;117.222; -;460.413;1.240;1.637.032; -;2.258.766;424.622;8.274;3.866.724;316.077
Público - Filmes Estrangeiros;152.355.417;139.214.633;163.867.894;153.913.521;150.522.264;136.552.287;121.728.465;130.943.514;125.518.802;109.149.353;96.595.506
Distribuidoras Internacionais;140.562.186;125.808.109;141.730.906;137.682.967;127.248.881;108.649.176;97.181.243;96.855.343;98.181.841;89.364.976;75.814.402
Distribuidoras Nacionais;11.793.231;13.406.524;22.136.988;16.230.554;23.273.383;27.903.111;24.547.222;34.088.171;27.336.961;19.784.377;20.781.104
Codistribuição Internacionais - Nacionais; -; -; -; -; -; -; -; -; -; -; -
Renda Total (R$);2.790.341.802,00;2.458.271.979,00;2.717.664.734,65;2.599.327.627,64;2.351.590.807,48;1.955.943.572,99;1.753.200.571,83;1.614.022.222,83;1.449.997.621,20;1.260.373.852,47;969.796.083,34
Distribuidoras Internacionais;2.294.258.564,00;1.972.071.331,00;2.166.642.802,37;2.021.823.643,30;1.771.827.202,76;1.432.863.087,80;1.191.214.550,50;1.110.201.318,93;1.056.522.188,70;906.282.424,03;741.722.837,70
Distribuidoras Nacionais;494.073.152,00;486.200.648,00;544.488.963,86;577.492.977,99;558.655.544,16;523.080.485,19;538.667.578,67;499.384.723,48;393.450.626,00;320.210.269,51;225.433.086,62
Codistribuição Internacionais - Nacionais;2.010.086,00; -;6.532.968,42;11.006,35;21.108.060,56; -;23.318.442,66;4.436.180,42;24.806,50;33.881.158,93;2.640.159,02
Renda - Filmes Brasileiros (R$);328.160.966,00;290.102.957,00;240.767.677,76;362.780.504,93;277.813.274,29;221.887.005,60;297.072.056,07;158.105.660,79;161.487.064,41;225.958.090,35;131.923.170,45
Distribuidoras Internacionais;21.907.535,00;5.012.249,00;17.025.033,25;15.094.621,22;19.345.600,41;42.937.939,04;17.940.985,75;27.893.255,02;50.091.498,35;53.083.455,34;81.661.927,45
Distribuidoras Nacionais;304.243.345,00;285.090.708,00;217.209.676,09;347.674.877,36;237.359.613,32;178.949.066,56;255.812.627,66;125.776.225,35;111.370.759,56;138.993.476,08;47.621.083,98
Codistribuição Internacionais - Nacionais;2.010.086,00; -;6.532.968,42;11.006,35;21.108.060,56; -;23.318.442,66;4.436.180,42;24.806,50;33.881.158,93;2.640.159,02
