Quantidade de Salas por UF - 2007 a 2020;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
UF;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009*;2008;2007
AC;8;8;8;7;5;4;5;5;4;7;3;3;2;2
AL;0;29;29;29;29;29;29;14;14;14;10;5;5;5
AM;48;70;71;71;63;63;56;47;41;41;41;31;30;22
AP;11;15;17;17;17;17;7;4;6;6;6;5;3;3
BA;71;132;114;106;100;87;83;88;84;78;82;76;72;68
CE;83;107;99;100;98;86;79;49;40;45;44;40;36;36
DF;70;88;88;88;88;87;81;81;76;73;80;93;88;87
ES;43;78;78;74;72;69;61;53;51;47;47;45;48;48
GO;51;114;116;117;113;99;99;94;86;80;74;76;73;67
MA;34;61;62;62;51;46;34;33;21;20;17;11;18;28
MG;128;279;269;257;259;252;241;217;213;197;184;191;206;198
MS;15;31;28;28;28;30;29;28;24;23;17;17;20;20
MT;34;53;53;46;45;42;36;36;27;27;27;28;29;28
PA;71;84;83;66;66;66;52;48;41;32;28;21;21;15
PB;28;45;40;38;37;34;26;26;26;25;20;20;31;29
PE;84;119;116;96;97;88;89;81;79;59;54;53;60;55
PI;22;34;30;26;26;26;14;10;10;10;10;10;11;11
PR;47;221;200;192;179;169;178;171;160;152;145;141;134;120
RJ;256;382;373;354;366;353;325;312;307;297;269;254;306;296
RN;26;31;31;31;31;31;31;31;19;19;19;14;15;15
RO;16;24;19;18;15;16;16;13;13;12;12;12;12;6
RR;9;15;15;15;15;15;6;6;6;6;5;5;2;2
RS;34;184;177;176;161;156;163;171;163;151;142;139;157;141
SC;72;149;148;133;130;122;114;113;109;96;83;72;82;82
SE;8;28;24;25;21;19;19;19;14;14;14;14;10;15
SP;585;1.107;1.041;1.033;1.031;986;947;915;869;812;770;730;800;753
TO;6;19;18;18;17;13;13;13;14;9;3;4;7;7
Total;1.860;3.507;3.347;3.223;3.160;3.005;2.833;2.678;2.517;2.352;2.206;2.110;2.278;2.159
;;;;;;;;;;;;;;
* A partir de 2009, deixaram de ser consideradas as salas de cinema pornográfico, de exibição videofonográfica e com exibições esporádicas. Foram mantidas apenas as salas comerciais com exibições regulares e programação composta de longas-metragens, com cobrança de ingresso e sessões de caráter público.;;;;;;;;;;;;;;
Fontes: Sistema de Registro – ANCINE, Sistema de Acompanhamento da Distribuição em Salas de Exibição (SADIS), Sistema de Controle de Bilheteria (SCB), Filme B e outras fontes secundárias.;;;;;;;;;;;;;;
Elaboração: Coordenação de Gestão das Informações Regulatórias - CGI/SRG/ANCINE. Publicado em 11/03/2022.;;;;;;;;;;;;;;
